id,dbr,isit,find,category,record
tagMIArmor055,item\equipmentarmor\mi_n_duneraider.dbr,False,"All Assassins; Heroes: Badru, Najja, Faceless One, @act02$",armor,b'records\\item\\equipmentarmor\\mi_n_duneraider.dbr'
tagMIArmor023,item\equipmentgreaves\mi_n_duneraider.dbr,False,"All Assassins, all Marauders; Heroes: Badru, Najja, Faceless One, @act02$",greaves,b'records\\item\\equipmentgreaves\\mi_n_duneraider.dbr'
tagMIArmor080,item\equipmentarmor\mi_n_duneraiderb.dbr,False,"All Pillagers, Iznu, @act02$",armor,b'records\\item\\equipmentarmor\\mi_n_duneraiderb.dbr'
tagMIArmor036,item\equipmenthelm\mi_n_goldenskeleton.dbr,False,"All Gilded Dead, Valley of Kings, @act02$",helm,b'records\\item\\equipmenthelm\\mi_n_goldenskeleton.dbr'
tagMIArmor024,item\equipmentgreaves\mi_n_goldenskeleton.dbr,False,"All Gilded Dead, Valley of Kings, @act02$",greaves,b'records\\item\\equipmentgreaves\\mi_n_goldenskeleton.dbr'
tagMIArmor005,item\equipmentarmband\mi_n_goldenskeleton.dbr,False,"All Gilded Dead, Valley of Kings, @act02$",armband,b'records\\item\\equipmentarmband\\mi_n_goldenskeleton.dbr'
tagMIArmor056,item\equipmentarmor\mi_n_goldenskeleton.dbr,False,"All Gilded Dead, Valley of Kings, @act02$",armor,b'records\\item\\equipmentarmor\\mi_n_goldenskeleton.dbr'
tagMIArmor037,item\equipmenthelm\mi_n_gorgon.dbr,False,"All Gorgons except Guards, Euryale, Medusa, Stheno, @act01$",helm,b'records\\item\\equipmenthelm\\mi_n_gorgon.dbr'
tagMIArmor006,item\equipmentarmband\mi_n_gorgonarcher.dbr,False,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$",armband,b'records\\item\\equipmentarmband\\mi_n_gorgonarcher.dbr'
tagMIArmor038,item\equipmenthelm\mi_n_gorgonarcher.dbr,False,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$",helm,b'records\\item\\equipmenthelm\\mi_n_gorgonarcher.dbr'
tagMIArmor057,item\equipmentarmor\mi_n_gorgonarcher.dbr,False,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$",armor,b'records\\item\\equipmentarmor\\mi_n_gorgonarcher.dbr'
tagMIArmor039,item\equipmenthelm\mi_n_gorgonmelee.dbr,False,"Guard, Archer, Slayer; Hero: Keleos, @act01$",helm,b'records\\item\\equipmenthelm\\mi_n_gorgonmelee.dbr'
tagMIArmor058,item\equipmentarmor\mi_n_gorgonmelee.dbr,False,"Guard, Archer, Slayer; Hero: Keleos, @act01$",armor,b'records\\item\\equipmentarmor\\mi_n_gorgonmelee.dbr'
tagMIArmor007,item\equipmentarmband\mi_n_gorgonmelee.dbr,False,"Guard, Archer, Slayer; Hero: Keleos, @act01$",armband,b'records\\item\\equipmentarmband\\mi_n_gorgonmelee.dbr'
tagMIArmor059,item\equipmentarmor\mi_n_ichthianmage.dbr,False,"All Bonecasters, all Shamans, Shaman's Apprentice, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_ichthianmage.dbr'
tagMIArmor040,item\equipmenthelm\mi_n_ichthianmage.dbr,False,"All Bonecasters, all Shamans, Shaman's Apprentice, @act03$",helm,b'records\\item\\equipmenthelm\\mi_n_ichthianmage.dbr'
tagMIWeapon011,item\equipmentweapon\club\mi_n_ichthianmelee.dbr,False,"Myrmidon, Piscean Warrior, Lord of the Deep; Heroes: Cenon, Melchior, Mehrdad, @act03$",club,b'records\\item\\equipmentweapon\\club\\mi_n_ichthianmelee.dbr'
tagMIArmor060,item\equipmentarmor\mi_n_ichthianmelee.dbr,False,"Myrmidon, Piscean Warrior, Lord of the Deep; Heroes: Cenon, Melchior, Mehrdad, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_ichthianmelee.dbr'
tagMIWeapon014,item\equipmentweapon\spear\mi_n_ichthianmelee.dbr,False,"All Trappers, @act03$",spear,b'records\\item\\equipmentweapon\\spear\\mi_n_ichthianmelee.dbr'
tagMIArmor008,item\equipmentarmband\mi_n_jackalmanmage.dbr,False,"All Shamans, @act02$",armband,b'records\\item\\equipmentarmband\\mi_n_jackalmanmage.dbr'
tagMIArmor041,item\equipmenthelm\mi_n_jackalmanmage.dbr,False,"All Shamans, Acolyte, Adept; Heroes: Akiiki, Yazid, @act02$",helm,b'records\\item\\equipmenthelm\\mi_n_jackalmanmage.dbr'
tagMIArmor061,item\equipmentarmor\mi_n_jackalmanmage.dbr,False,"All Shamans, @act02$",armor,b'records\\item\\equipmentarmor\\mi_n_jackalmanmage.dbr'
tagMIArmor009,item\equipmentarmband\mi_n_jackalmanmelee.dbr,False,"All Berserkers; Hero: Slobberjaw, @act02$",armband,b'records\\item\\equipmentarmband\\mi_n_jackalmanmelee.dbr'
tagMIArmor062,item\equipmentarmor\mi_n_jackalmanmelee.dbr,False,"All Berserkers; Hero: Slobberjaw, @act02$",armor,b'records\\item\\equipmentarmor\\mi_n_jackalmanmelee.dbr'
tagMIArmor082,item\equipmenthelm\mi_n_liche.dbr,False,"All Abyssal Liches, @act03$",helm,b'records\\item\\equipmenthelm\\mi_n_liche.dbr'
tagMIWeapon019,item\equipmentweapon\staff\mi_n_liche.dbr,False,"All Abyssal Liches, @act03$",staff,b'records\\item\\equipmentweapon\\staff\\mi_n_liche.dbr'
tagMIArmor010,item\equipmentarmband\mi_n_minotaur.dbr,False,"Minotaur Lord, Minoan Labyrinth, @act01$",armband,b'records\\item\\equipmentarmband\\mi_n_minotaur.dbr'
tagMIArmor063,item\equipmentarmor\mi_n_minotaur.dbr,False,"Minotaur Lord, Minoan Labyrinth, @act01$",armor,b'records\\item\\equipmentarmor\\mi_n_minotaur.dbr'
tagMIWeapon005,item\equipmentweapon\axe\mi_n_minotaurlord.dbr,False,"Minotaur Lord, Minoan Labyrinth, @act01$",axe,b'records\\item\\equipmentweapon\\axe\\mi_n_minotaurlord.dbr'
tagMIArmor042,item\equipmenthelm\mi_n_mummy.dbr,False,"All Embalmed Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$",helm,b'records\\item\\equipmenthelm\\mi_n_mummy.dbr'
tagMIArmor064,item\equipmentarmor\mi_n_mummy.dbr,False,"All Embalmed Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$",armor,b'records\\item\\equipmentarmor\\mi_n_mummy.dbr'
tagMIArmor025,item\equipmentgreaves\mi_n_mummy.dbr,False,"All Embalmed Dead, all Desiccated Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$",greaves,b'records\\item\\equipmentgreaves\\mi_n_mummy.dbr'
tagMIArmor011,item\equipmentarmband\mi_n_mummy.dbr,False,"All Embalmed Dead, all Desiccated Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$",armband,b'records\\item\\equipmentarmband\\mi_n_mummy.dbr'
tagMIArmor065,item\equipmentarmor\mi_n_neanderthalmage.dbr,False,"Bonecaster, Shaman, Shaman's Apprentice, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_neanderthalmage.dbr'
tagMIArmor012,item\equipmentarmband\mi_n_neanderthalmage.dbr,False,"Bonecaster, Shaman, Shaman's Apprentice, @act03$",armband,b'records\\item\\equipmentarmband\\mi_n_neanderthalmage.dbr'
tagMIArmor026,item\equipmentgreaves\mi_n_neanderthalmage.dbr,False,"Bonecaster, Shaman, Shaman's Apprentice, @act03$",greaves,b'records\\item\\equipmentgreaves\\mi_n_neanderthalmage.dbr'
tagMIArmor043,item\equipmenthelm\mi_n_neanderthalmage.dbr,False,"Bonecaster, Shaman, Shaman's Apprentice, @act03$",helm,b'records\\item\\equipmenthelm\\mi_n_neanderthalmage.dbr'
tagMIArmor044,item\equipmenthelm\mi_n_neanderthalmelee.dbr,False,"Saber Rider, Warrior, Warchief; Heroes: Grom, Korat Bearkin, @act03$",helm,b'records\\item\\equipmenthelm\\mi_n_neanderthalmelee.dbr'
tagMIArmor066,item\equipmentarmor\mi_n_neanderthalmelee.dbr,False,"Saber Rider, Warrior, Warchief, Hunter, Trapper; Heroes: Grom, Korat Bearkin, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_neanderthalmelee.dbr'
tagMIArmor013,item\equipmentarmband\mi_n_neanderthalmelee.dbr,False,"Saber Rider, Warrior, Warchief, Hunter, Trapper; Heroes: Grom, Korat Bearkin, @act03$",armband,b'records\\item\\equipmentarmband\\mi_n_neanderthalmelee.dbr'
tagMIWeapon006,item\equipmentweapon\axe\mi_n_neanderthalmelee.dbr,False,"Warrior, Warchief, @act03$",axe,b'records\\item\\equipmentweapon\\axe\\mi_n_neanderthalmelee.dbr'
tagMIArmor027,item\equipmentgreaves\mi_n_neanderthalmelee.dbr,False,"Saber Rider, Warrior, Warchief, Hunter, Trapper; Heroes: Grom, Korat Bearkin, @act03$",greaves,b'records\\item\\equipmentgreaves\\mi_n_neanderthalmelee.dbr'
tagMIArmor067,item\equipmentarmor\mi_n_ratmanarcher.dbr,False,"All Archers, Temple of Marduk, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_ratmanarcher.dbr'
tagMIArmor045,item\equipmenthelm\mi_n_ratmanchampion.dbr,False,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$",helm,b'records\\item\\equipmenthelm\\mi_n_ratmanchampion.dbr'
tagMIArmor014,item\equipmentarmband\mi_n_ratmanchampion.dbr,False,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$",armband,b'records\\item\\equipmentarmband\\mi_n_ratmanchampion.dbr'
tagMIArmor028,item\equipmentgreaves\mi_n_ratmanchampion.dbr,False,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$",greaves,b'records\\item\\equipmentgreaves\\mi_n_ratmanchampion.dbr'
tagMIArmor068,item\equipmentarmor\mi_n_ratmanchampion.dbr,False,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_ratmanchampion.dbr'
tagMIArmor069,item\equipmentarmor\mi_n_ratmanmelee.dbr,False,"Minion, Warrior, Temple of Marduk, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_ratmanmelee.dbr'
tagMIArmor015,item\equipmentarmband\mi_n_reptilian.dbr,False,"Overseer, Centurion, Hulking Centurion; Heroes: Barroc, Drottuc, Ssark, @act02$",armband,b'records\\item\\equipmentarmband\\mi_n_reptilian.dbr'
tagMIArmor070,item\equipmentarmor\mi_n_reptilian.dbr,False,"Overseer, Centurion, Hulking Centurion; Heroes: Barroc, Drottuc, Ssark, @act02$",armor,b'records\\item\\equipmentarmor\\mi_n_reptilian.dbr'
tagMIWeapon009,item\equipmentweapon\bow\mi_n_satyrbrigand.dbr,False,"Boar Rider, Pillager, @act01$",bow,b'records\\item\\equipmentweapon\\bow\\mi_n_satyrbrigand.dbr'
tagMIArmor071,item\equipmentarmor\mi_n_satyrbrute.dbr,False,"Guardian; Hero: Warchief Paphos, @act01$",armor,b'records\\item\\equipmentarmor\\mi_n_satyrbrute.dbr'
tagMIWeapon012,item\equipmentweapon\club\mi_n_satyrguardian.dbr,False,"Guardian; Hero: Warchief Paphos, @act01$",club,b'records\\item\\equipmentweapon\\club\\mi_n_satyrguardian.dbr'
tagMIArmor046,item\equipmenthelm\mi_n_satyrmage.dbr,False,"All mages; Heroes: Algos, Drusil, Fernos, Nesis, @act01$",helm,b'records\\item\\equipmenthelm\\mi_n_satyrmage.dbr'
tagMIWeapon015,item\equipmentweapon\staff\mi_n_satyrmage.dbr,False,"All mages; Heroes: Algos, Drusil, Fernos, Nesis, @act01$",staff,b'records\\item\\equipmentweapon\\staff\\mi_n_satyrmage.dbr'
tagMIArmor016,item\equipmentarmband\mi_n_satyrmage.dbr,False,"All mages; Heroes: Algos, Drusil, Fernos, Nesis, @act01$",armband,b'records\\item\\equipmentarmband\\mi_n_satyrmage.dbr'
tagMIArmor072,item\equipmentarmor\mi_n_telkine.dbr,False,"Megalesios, Minoan Labyrinth, @act01$",armor,b'records\\item\\equipmentarmor\\mi_n_telkine.dbr'
tagMIArmor017,item\equipmentarmband\mi_n_telkine.dbr,False,"Megalesios, Minoan Labyrinth, @act01$",armband,b'records\\item\\equipmentarmband\\mi_n_telkine.dbr'
tagMIArmor073,item\equipmentarmor\mi_n_tigermanchampion.dbr,False,"War Lord, Pack Leader; Hero: Jun Shan, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_tigermanchampion.dbr'
tagMIWeapon007,item\equipmentweapon\axe\mi_n_tigermanchampion.dbr,False,"War Lord, Pack Leader; Hero: Jun Shan, @act03$",axe,b'records\\item\\equipmentweapon\\axe\\mi_n_tigermanchampion.dbr'
tagMIArmor047,item\equipmenthelm\mi_n_tigermanchampion.dbr,False,"War Lord, Pack Leader; Hero: Jun Shan, @act03$",helm,b'records\\item\\equipmenthelm\\mi_n_tigermanchampion.dbr'
tagMIArmor074,item\equipmentarmor\mi_n_tigermanmage.dbr,False,"Adept, Acolyte, Sorcerer, Elite Sorcerer; Heroes: Miao Miao, Shao Hsin, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_tigermanmage.dbr'
tagMIArmor048,item\equipmenthelm\mi_n_tigermanmage.dbr,False,"Adept, Acolyte, Sorcerer, Elite Sorcerer; Heroes: Miao Miao, Shao Hsin, @act03$",helm,b'records\\item\\equipmenthelm\\mi_n_tigermanmage.dbr'
tagMIWeapon017,item\equipmentweapon\sword\mi_n_tigermanmelee.dbr,False,"Prowler, Elite Prowler, @act03$",sword,b'records\\item\\equipmentweapon\\sword\\mi_n_tigermanmelee.dbr'
tagMIArmor075,item\equipmentarmor\mi_n_tigermanmelee.dbr,False,"Prowler, Elite Prowler, Archer, Elite Archer, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_tigermanmelee.dbr'
tagMIArmor030,item\equipmentgreaves\mi_n_tigermanmelee.dbr,False,"Prowler, Elite Prowler, Archer, Elite Archer, @act03$",greaves,b'records\\item\\equipmentgreaves\\mi_n_tigermanmelee.dbr'
tagMIArmor018,item\equipmentarmband\mi_n_tigermanmelee.dbr,False,"Prowler, Elite Prowler, Archer, Elite Archer, @act03$",armband,b'records\\item\\equipmentarmband\\mi_n_tigermanmelee.dbr'
tagMIWeapon003,item\equipmentshield\mi_n_tropicalarachnos.dbr,False,"Drone, Soldier, Veteran Soldier, Elite Soldier, @act03$",shield,b'records\\item\\equipmentshield\\mi_n_tropicalarachnos.dbr'
tagMIArmor019,item\equipmentarmband\mi_n_tropicalarachnos.dbr,False,"Drone, Soldier, Veteran Soldier, Elite Soldier, Deathspinner; Hero: Prince Ch'kik't, @act03$",armband,b'records\\item\\equipmentarmband\\mi_n_tropicalarachnos.dbr'
tagMIArmor076,item\equipmentarmor\mi_n_tropicalarachnos.dbr,False,"All Arachnos; Hero: Prince Ch'kik't, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_tropicalarachnos.dbr'
tagMIArmor049,item\equipmenthelm\mi_n_tropicalarachnos.dbr,False,"All Arachnos; Hero: Prince Ch'kik't, @act03$",helm,b'records\\item\\equipmenthelm\\mi_n_tropicalarachnos.dbr'
tagMIArmor020,item\equipmentarmband\mi_n_wraith.dbr,False,"All Drowned Sailors, @act01$",armband,b'records\\item\\equipmentarmband\\mi_n_wraith.dbr'
tagMIArmor077,item\equipmentarmor\mi_n_wraith.dbr,False,"All Drowned Sailors, @act01$",armor,b'records\\item\\equipmentarmor\\mi_n_wraith.dbr'
tagMIArmor031,item\equipmentgreaves\mi_n_wraith.dbr,False,"All Drowned Sailors, @act01$",greaves,b'records\\item\\equipmentgreaves\\mi_n_wraith.dbr'
tagMIArmor078,item\equipmentarmor\mi_n_yerren.dbr,False,"Chieftain; Heroes: Mountain Strider, Swiftstream, Wolfbiter, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_yerren.dbr'
tagMIArmor032,item\equipmentgreaves\mi_n_yerren.dbr,False,"Chieftain; Heroes: Mountain Strider, Swiftstream, Wolfbiter, @act03$",greaves,b'records\\item\\equipmentgreaves\\mi_n_yerren.dbr'
tagMIArmor021,item\equipmentarmband\mi_n_yerren.dbr,False,"Chieftain; Heroes: Mountain Strider, Swiftstream, Wolfbiter, @act03$",armband,b'records\\item\\equipmentarmband\\mi_n_yerren.dbr'
xtagMIArmor001,xpack\item\equipmentarmor\armband\mi_n_anouranmage.dbr,True,"Witch Doctor; Hero: Schlilsh, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_n_anouranmage.dbr'
xtagMIArmor010,xpack\item\equipmentarmor\greaves\mi_n_anouranmage.dbr,True,"Witch Doctor; Hero: Schlilsh, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_n_anouranmage.dbr'
xtagMIArmor035,xpack\item\equipmentarmor\torso\mi_n_anouranmage.dbr,True,"Witch Doctor; Heroes: Schlilsh, Wood-Ear, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_n_anouranmage.dbr'
xtagMIWeapon005,xpack\item\equipmentweapons\bow\mi_n_anouran.dbr,True,"All Hunters, @act04$",bow,b'records\\xpack\\item\\equipmentweapons\\bow\\mi_n_anouran.dbr'
xtagMIArmor002,xpack\item\equipmentarmor\armband\mi_n_anouranmelee.dbr,True,"All Anourans; Hero: Longbellow, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_n_anouranmelee.dbr'
xtagMIArmor036,xpack\item\equipmentarmor\torso\mi_n_anouranmelee.dbr,True,"All Anourans; Heroes: Longbellow, Gleek, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_n_anouranmelee.dbr'
xtagMIArmor011,xpack\item\equipmentarmor\greaves\mi_n_anouranmelee.dbr,True,"All Anourans; Hero: Longbellow, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_n_anouranmelee.dbr'
xtagMIWeapon009,xpack\item\equipmentweapons\spear\mi_n_anouran.dbr,True,"Pygmy, @act04$",spear,b'records\\xpack\\item\\equipmentweapons\\spear\\mi_n_anouran.dbr'
xtagMIWeapon013,xpack\item\equipmentweapons\sword\mi_n_anouran.dbr,True,"Tribesman, Bullfrog; Heroes: Gleek, Longbellow, @act04$",sword,b'records\\xpack\\item\\equipmentweapons\\sword\\mi_n_anouran.dbr'
xtagMIWeapon008,xpack\item\equipmentweapons\club\mi_n_anteok.dbr,True,"Archon; Heroes: Myrto, Elatos, @act04$",club,b'records\\xpack\\item\\equipmentweapons\\club\\mi_n_anteok.dbr'
xtagMIArmor003,xpack\item\equipmentarmor\armband\mi_n_empusamage.dbr,True,"All Empusa, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_n_empusamage.dbr'
xtagMIWeapon011,xpack\item\equipmentweapons\staff\mi_n_empousa.dbr,True,"All Empusa, @act04$",staff,b'records\\xpack\\item\\equipmentweapons\\staff\\mi_n_empousa.dbr'
xtagMIArmor037,xpack\item\equipmentarmor\torso\mi_n_empusamage.dbr,True,"All Empusa, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_n_empusamage.dbr'
xtagMIArmor022,xpack\item\equipmentarmor\helm\mi_n_empusamage.dbr,True,"All Empusa, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_n_empusamage.dbr'
xtagMIArmor012,xpack\item\equipmentarmor\greaves\mi_n_empusamage.dbr,True,"All Empusa, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_n_empusamage.dbr'
xtagMIArmor024,xpack\item\equipmentarmor\helm\mi_n_formicidmage02.dbr,True,"All Priestesses; Hero: Queen K'kiitr, Styx, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_n_formicidmage02.dbr'
xtagMIArmor014,xpack\item\equipmentarmor\greaves\mi_n_formicidmage02.dbr,True,"All Priestesses; Hero: Queen K'kiitr, Styx, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_n_formicidmage02.dbr'
xtagMIArmor039,xpack\item\equipmentarmor\torso\mi_n_formicidmage02.dbr,True,"All Priestesses; Hero: Queen K'kiitr, Styx, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_n_formicidmage02.dbr'
xtagMIArmor041,xpack\item\equipmentarmor\torso\mi_n_formicidmelee02.dbr,True,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_n_formicidmelee02.dbr'
xtagMIArmor016,xpack\item\equipmentarmor\greaves\mi_n_formicidmelee02.dbr,True,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_n_formicidmelee02.dbr'
xtagMIArmor026,xpack\item\equipmentarmor\helm\mi_n_formicidmelee02.dbr,True,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_n_formicidmelee02.dbr'
xtagMIWeapon003,xpack\item\equipmentweapons\axe\mi_n_formicid.dbr,True,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$",axe,b'records\\xpack\\item\\equipmentweapons\\axe\\mi_n_formicid.dbr'
xtagMIArmor023,xpack\item\equipmentarmor\helm\mi_n_formicidmage01.dbr,True,"All Priestesses; Hero: Queen Ch'Kra, Ampelian Cave, Medea's Grove, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_n_formicidmage01.dbr'
xtagMIArmor013,xpack\item\equipmentarmor\greaves\mi_n_formicidmage01.dbr,True,"All Priestesses; Hero: Queen Ch'Kra, Ampelian Cave, Medea's Grove, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_n_formicidmage01.dbr'
xtagMIArmor038,xpack\item\equipmentarmor\torso\mi_n_formicidmage01.dbr,True,"All Priestesses; Hero: Queen Ch'Kra, Ampelian Cave, Medea's Grove, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_n_formicidmage01.dbr'
xtagMIArmor040,xpack\item\equipmentarmor\torso\mi_n_formicidmelee01.dbr,True,"Drone, Soldier, Corporal, Captain; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_n_formicidmelee01.dbr'
xtagMIArmor015,xpack\item\equipmentarmor\greaves\mi_n_formicidmelee01.dbr,True,"Drone, Soldier, Corporal, Captain; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_n_formicidmelee01.dbr'
xtagMIArmor025,xpack\item\equipmentarmor\helm\mi_n_formicidmelee01.dbr,True,"Drone, Soldier, Corporal, Captain; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_n_formicidmelee01.dbr'
xtagMIWeapon001,xpack\item\equipmentweapons\shield\mi_n_formicid.dbr,True,"Drone, Soldier, Corporal; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$",shield,b'records\\xpack\\item\\equipmentweapons\\shield\\mi_n_formicid.dbr'
xtagMIArmor028,xpack\item\equipmentarmor\helm\mi_n_gigantesmelee02.dbr,True,"Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_n_gigantesmelee02.dbr'
