record,_id,isit,isr,isatl,find,category,class,pack,_Name,Name,Quality,id
records\xpack\item\equipmentarmor\greaves\mi_n_troglodytemelee.dbr,xtagMIArmor021,True,False,False,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",Greaves,ArmorProtective_LowerBody,xpack,mi_n_troglodytemelee_Greaves_xpack,Gog,,Gog
records\xpack\item\equipmentarmor\armband\mi_n_troglodytemelee.dbr,xtagMIArmor009,True,False,False,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",Armbands,ArmorProtective_Forearm,xpack,mi_n_troglodytemelee_Armbands_xpack,Lar,,Lar
records\xpack2\item\equipmentarmor\helm\mi_n_alfr.dbr,x2tagMIArmor018,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_alfr_Helm_xpack2,Helm of Alfheim,,Helm_of_Alfheim
records\xpack2\item\equipmentarmor\armband\mi_n_alfr.dbr,x2tagMIArmor019,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_alfr_Armbands_xpack2,Bracers of Alfheim,,Bracers_of_Alfheim
records\xpack2\item\equipmentarmor\torso\mi_n_alfr.dbr,x2tagMIArmor017,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_alfr_Armor_xpack2,Tunic of Alfheim,,Tunic_of_Alfheim
records\xpack2\item\equipmentarmor\greaves\mi_n_alfr.dbr,x2tagMIArmor020,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_alfr_Greaves_xpack2,Boots of Alfheim,,Boots_of_Alfheim
records\xpack2\item\equipmentweapons\bow\mi_n_alfr.dbr,x2tagMIWeapon022,True,True,False,,Bow,WeaponHunting_Bow,xpack2,mi_n_alfr_Bow_xpack2,Trueshot Bow,,Trueshot_Bow
records\xpack2\item\equipmentarmor\helm\mi_n_banditgreek.dbr,x2tagMIArmor033,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_banditgreek_Helm_xpack2,Scironian Helmet,,Scironian_Helmet
records\xpack2\item\equipmentarmor\torso\mi_n_banditgreek.dbr,x2tagMIArmor032,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_banditgreek_Armor_xpack2,Scironian Armor,,Scironian_Armor
records\xpack2\item\equipmentarmor\helm\mi_n_centaur.dbr,tagMIArmor035,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_centaur_Helm_xpack2,Outrider's Skullcap,,Outriders_Skullcap
records\xpack2\item\equipmentarmor\torso\mi_n_centaur.dbr,tagMIArmor053,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_centaur_Armor_xpack2,Outrider's Tunic,,Outriders_Tunic
records\xpack2\item\equipmentarmor\helm\mi_n_draugr.dbr,x2tagMIArmor044,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_draugr_Helm_xpack2,Helmet of the Restless King,,Helmet_of_the_Restless_King
records\xpack2\item\equipmentarmor\armband\mi_n_draugr.dbr,x2tagMIArmor045,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_draugr_Armbands_xpack2,Gauntlets of the Restless King,,Gauntlets_of_the_Restless_King
records\xpack2\item\equipmentarmor\torso\mi_n_draugr.dbr,x2tagMIArmor043,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_draugr_Armor_xpack2,Ring Mail of the Restless King,,Ring_Mail_of_the_Restless_King
records\xpack2\item\equipmentarmor\greaves\mi_n_draugr.dbr,x2tagMIArmor046,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_draugr_Greaves_xpack2,Guards of the Restless King,,Guards_of_the_Restless_King
records\xpack2\item\equipmentweapons\bow\mi_n_draugr.dbr,x2tagMIWeapon021,True,True,False,,Bow,WeaponHunting_Bow,xpack2,mi_n_draugr_Bow_xpack2,Bone Bow,,Bone_Bow
records\xpack2\item\equipmentweapons\shield\mi_n_draugr.dbr,x2tagMIWeapon020,True,True,False,,Shield,WeaponArmor_Shield,xpack2,mi_n_draugr_Shield_xpack2,Shield of the Restless King,,Shield_of_the_Restless_King
records\xpack2\item\equipmentarmor\helm\mi_n_dvergrmelee.dbr,x2tagMIArmor014,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_dvergrmelee_Helm_xpack2,Master Forge Helmet,,Master_Forge_Helmet
records\xpack2\item\equipmentarmor\armband\mi_n_dvergrmelee.dbr,x2tagMIArmor015,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_dvergrmelee_Armbands_xpack2,Master Forge Armbands,,Master_Forge_Armbands
records\xpack2\item\equipmentarmor\torso\mi_n_dvergrmelee.dbr,x2tagMIArmor013,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_dvergrmelee_Armor_xpack2,Master Forge Cuirass,,Master_Forge_Cuirass
records\xpack2\item\equipmentarmor\torso\mi_n_dvergrmage.dbr,x2tagMIArmor013b,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_dvergrmage_Armor_xpack2,Master Seer Robe,,Master_Seer_Robe
records\xpack2\item\equipmentarmor\greaves\mi_n_dvergrmelee.dbr,x2tagMIArmor016,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_dvergrmelee_Greaves_xpack2,Master Forge Greaves,,Master_Forge_Greaves
records\xpack2\item\equipmentweapons\1hranged\mi_n_dvergr.dbr,x2tagMIWeapon029,True,True,False,,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_n_dvergr_Thrown_xpack2,Dvergr Runestones,,Dvergr_Runestones
records\xpack2\item\equipmentweapons\axe\mi_n_dvergr.dbr,x2tagMIWeapon016,True,True,False,,Axe,WeaponMelee_Axe,xpack2,mi_n_dvergr_Axe_xpack2,Dvergr-Forged Battle Axe,,Dvergr_Forged_Battle_Axe
records\xpack2\item\equipmentweapons\club\mi_n_dvergr.dbr,x2tagMIWeapon014,True,True,False,,Mace,WeaponMelee_Mace,xpack2,mi_n_dvergr_Mace_xpack2,Dvergr-Forged Edge Mace,,Dvergr_Forged_Edge_Mace
records\xpack2\item\equipmentweapons\staff\mi_n_dvergr.dbr,x2tagMIWeapon017,True,True,False,,Staff,WeaponMagical_Staff,xpack2,mi_n_dvergr_Staff_xpack2,Prospector Rod,,Prospector_Rod
records\xpack2\item\equipmentweapons\sword\mi_n_dvergr.dbr,x2tagMIWeapon015,True,True,False,,Sword,WeaponMelee_Sword,xpack2,mi_n_dvergr_Sword_xpack2,Dvergr-Forged Longsword,,Dvergr_Forged_Longsword
records\xpack2\item\equipmentarmor\helm\mi_n_einherjar.dbr,x2tagMIArmor052,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_einherjar_Helm_xpack2,Helm of Valhöll,,Helm_of_Valhöll
records\xpack2\item\equipmentarmor\torso\mi_n_einherjar.dbr,x2tagMIArmor051,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_einherjar_Armor_xpack2,Harness of Valhöll,,Harness_of_Valhöll
records\xpack2\item\equipmentarmor\armband\mi_n_einherjar.dbr,x2tagMIArmor053,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_einherjar_Armbands_xpack2,Armguards of Valhöll,,Armguards_of_Valhöll
records\xpack2\item\equipmentarmor\greaves\mi_n_einherjar.dbr,x2tagMIArmor054,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_einherjar_Greaves_xpack2,Buskins of Valhöll,,Buskins_of_Valhöll
records\xpack2\item\equipmentweapons\1hranged\mi_n_einherjar.dbr,x2tagMIWeapon030,True,True,False,,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_n_einherjar_Thrown_xpack2,Einherjar Hammers,,Einherjar_Hammers
records\xpack2\item\equipmentweapons\shield\mi_n_einherjar.dbr,x2tagMIWeapon010,True,True,False,,Shield,WeaponArmor_Shield,xpack2,mi_n_einherjar_Shield_xpack2,Einherjar's Stand,,Einherjars_Stand
records\xpack2\item\equipmentweapons\spear\mi_n_einherjar.dbr,x2tagMIWeapon008,True,True,False,,Spear,WeaponHunting_Spear,xpack2,mi_n_einherjar_Spear_xpack2,Einherjar's Line,,Einherjars_Line
records\xpack2\item\equipmentweapons\sword\mi_n_einherjar.dbr,x2tagMIWeapon009,True,True,False,,Sword,WeaponMelee_Sword,xpack2,mi_n_einherjar_Sword_xpack2,Einherjar's Fate,,Einherjars_Fate
records\xpack2\item\equipmentarmor\helm\mi_n_eldjotun.dbr,x2tagMIArmor022,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_eldjotun_Helm_xpack2,Blacksteel Helmet,,Blacksteel_Helmet
records\xpack2\item\equipmentarmor\torso\mi_n_eldjotun.dbr,x2tagMIArmor021,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_eldjotun_Armor_xpack2,Blacksteel Plate,,Blacksteel_Plate
records\xpack2\item\equipmentarmor\armband\mi_n_eldjotun.dbr,x2tagMIArmor023,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_eldjotun_Armbands_xpack2,Blacksteel Bracers,,Blacksteel_Bracers
records\xpack2\item\equipmentarmor\greaves\mi_n_eldjotun.dbr,x2tagMIArmor024,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_eldjotun_Greaves_xpack2,Blacksteel Greaves,,Blacksteel_Greaves
records\xpack2\item\equipmentweapons\shield\mi_n_eldjotun.dbr,x2tagMIWeapon013,True,True,False,,Shield,WeaponArmor_Shield,xpack2,mi_n_eldjotun_Shield_xpack2,Blacksteel Bulwark,,Blacksteel_Bulwark
records\xpack2\item\equipmentweapons\spear\mi_n_eldjotun.dbr,x2tagMIWeapon011,True,True,False,,Spear,WeaponHunting_Spear,xpack2,mi_n_eldjotun_Spear_xpack2,Blacksteel Spike,,Blacksteel_Spike
records\xpack2\item\equipmentweapons\sword\mi_n_eldjotun.dbr,x2tagMIWeapon012,True,True,False,,Sword,WeaponMelee_Sword,xpack2,mi_n_eldjotun_Sword_xpack2,Blacksteel Executioner,,Blacksteel_Executioner
records\xpack2\item\equipmentarmor\helm\mi_n_fjordmelee.dbr,x2tagMIArmor006,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_fjordmelee_Helm_xpack2,Icescale Helm,,Icescale_Helm
records\xpack2\item\equipmentarmor\torso\mi_n_fjordmelee.dbr,x2tagMIArmor005,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_fjordmelee_Armor_xpack2,Icescale Armor,,Icescale_Armor
records\xpack2\item\equipmentarmor\armband\mi_n_fjordmelee.dbr,x2tagMIArmor007,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_fjordmelee_Armbands_xpack2,Icescale Bracers,,Icescale_Bracers
records\xpack2\item\equipmentarmor\greaves\mi_n_fjordmelee.dbr,x2tagMIArmor008,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_fjordmelee_Greaves_xpack2,Icescale Guards,,Icescale_Guards
records\xpack2\item\equipmentarmor\helm\mi_n_fjordmage.dbr,x2tagMIArmor010,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_fjordmage_Helm_xpack2,Crown of the Deep,,Crown_of_the_Deep
records\xpack2\item\equipmentarmor\torso\mi_n_fjordmage.dbr,x2tagMIArmor009,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_fjordmage_Armor_xpack2,Raiment of the Deep,,Raiment_of_the_Deep
records\xpack2\item\equipmentarmor\armband\mi_n_fjordmage.dbr,x2tagMIArmor011,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_fjordmage_Armbands_xpack2,Bracelets of the Deep,,Bracelets_of_the_Deep
records\xpack2\item\equipmentarmor\greaves\mi_n_fjordmage.dbr,x2tagMIArmor012,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_fjordmage_Greaves_xpack2,Guards of the Deep,,Guards_of_the_Deep
records\xpack2\item\equipmentweapons\bow\mi_n_fjordmelee.dbr,x2tagMIWeapon032,True,True,False,,Bow,WeaponHunting_Bow,xpack2,mi_n_fjordmelee_Bow_xpack2,Ichthian Stinger,,Ichthian_Stinger
records\xpack2\item\equipmentweapons\shield\mi_n_fjordmelee.dbr,x2tagMIWeapon007,True,True,False,,Shield,WeaponArmor_Shield,xpack2,mi_n_fjordmelee_Shield_xpack2,Ichthian Shell,,Ichthian_Shell
records\xpack2\item\equipmentweapons\spear\mi_n_fjordmelee.dbr,x2tagMIWeapon006,True,True,False,,Spear,WeaponHunting_Spear,xpack2,mi_n_fjordmelee_Spear_xpack2,Ichthian Spine,,Ichthian_Spine
records\xpack2\item\equipmentweapons\staff\mi_n_fjordmage.dbr,x2tagMIWeapon034,True,True,False,,Staff,WeaponMagical_Staff,xpack2,mi_n_fjordmage_Staff_xpack2,Staff of the Deep,,Staff_of_the_Deep
records\xpack2\item\equipmentarmor\helm\mi_n_kelpie.dbr,x2tagMIArmor030,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_kelpie_Helm_xpack2,Kelpie Circlet,,Kelpie_Circlet
records\xpack2\item\equipmentarmor\torso\mi_n_kelpie.dbr,x2tagMIArmor029,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_kelpie_Armor_xpack2,Kelpie Cuisse,,Kelpie_Cuisse
records\xpack2\item\equipmentarmor\armband\mi_n_kelpie.dbr,x2tagMIArmor031,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_kelpie_Armbands_xpack2,Kelpie Vambrace,,Kelpie_Vambrace
records\xpack2\item\equipmentweapons\sword\mi_n_mercenary.dbr,x2tagMIWeapon018,True,True,False,,Sword,WeaponMelee_Sword,xpack2,mi_n_mercenary_Sword_xpack2,Stormraven Sword,,Stormraven_Sword
records\xpack2\item\equipmentarmor\helm\mi_n_merfolk.dbr,x2tagMIArmor036,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_merfolk_Helm_xpack2,Triteia's Coral Crown,,Triteias_Coral_Crown
records\xpack2\item\equipmentarmor\torso\mi_n_merfolk.dbr,x2tagMIArmor035,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_merfolk_Armor_xpack2,Triton Armor,,Triton_Armor
records\xpack2\item\equipmentweapons\spear\mi_n_merfolk.dbr,x2tagMIWeapon001,True,True,False,,Spear,WeaponHunting_Spear,xpack2,mi_n_merfolk_Spear_xpack2,Deep Sea Trident,,Deep_Sea_Trident
records\xpack2\item\equipmentarmor\helm\mi_n_nerthusshaman.dbr,x2tagMIArmor026,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_nerthusshaman_Helm_xpack2,Hood of the Chosen,,Hood_of_the_Chosen
records\xpack2\item\equipmentarmor\torso\mi_n_nerthusshaman.dbr,x2tagMIArmor025,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_nerthusshaman_Armor_xpack2,Coat of the Chosen,,Coat_of_the_Chosen
records\xpack2\item\equipmentarmor\armband\mi_n_nerthusshaman.dbr,x2tagMIArmor027,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_nerthusshaman_Armbands_xpack2,Rings of the Chosen,,Rings_of_the_Chosen
records\xpack2\item\equipmentarmor\greaves\mi_n_nerthusshaman.dbr,x2tagMIArmor028,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_nerthusshaman_Greaves_xpack2,Wraps of the Chosen,,Wraps_of_the_Chosen
records\xpack2\item\equipmentweapons\staff\mi_n_nerthusshaman.dbr,x2tagMIWeapon019,True,True,False,,Staff,WeaponMagical_Staff,xpack2,mi_n_nerthusshaman_Staff_xpack2,Staff of the Chosen,,Staff_of_the_Chosen
records\xpack2\item\equipmentarmor\helm\mi_n_troll.dbr,x2tagMIArmor002,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_troll_Helm_xpack2,Bonebreaker Cowl,,Bonebreaker_Cowl
records\xpack2\item\equipmentarmor\torso\mi_n_troll.dbr,x2tagMIArmor001,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_troll_Armor_xpack2,Bonebreaker Mail,,Bonebreaker_Mail
records\xpack2\item\equipmentarmor\torso\mi_n_trollmage.dbr,x2tagMIArmor001b,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_trollmage_Armor_xpack2,Bonecaster Shawl,,Bonecaster_Shawl
records\xpack2\item\equipmentarmor\armband\mi_n_troll.dbr,x2tagMIArmor003,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_troll_Armbands_xpack2,Bonebreaker Bracelets,,Bonebreaker_Bracelets
records\xpack2\item\equipmentarmor\greaves\mi_n_troll.dbr,x2tagMIArmor004,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_troll_Greaves_xpack2,Bonebreaker Greaves,,Bonebreaker_Greaves
records\xpack2\item\equipmentweapons\axe\mi_n_troll.dbr,x2tagMIWeapon005,True,True,False,,Axe,WeaponMelee_Axe,xpack2,mi_n_troll_Axe_xpack2,Troll's Splitter,,Trolls_Splitter
records\xpack2\item\equipmentweapons\club\mi_n_troll.dbr,x2tagMIWeapon003,True,True,False,,Mace,WeaponMelee_Mace,xpack2,mi_n_troll_Mace_xpack2,Troll's Basher,,Trolls_Basher
records\xpack2\item\equipmentweapons\spear\mi_n_troll.dbr,x2tagMIWeapon002,True,True,False,,Spear,WeaponHunting_Spear,xpack2,mi_n_troll_Spear_xpack2,Troll's Sticker,,Trolls_Sticker
records\xpack2\item\equipmentweapons\staff\mi_n_troll.dbr,x2tagMIWeapon031,True,True,False,,Staff,WeaponMagical_Staff,xpack2,mi_n_troll_Staff_xpack2,Troll's Branch,,Trolls_Branch
records\xpack2\item\equipmentweapons\sword\mi_n_troll.dbr,x2tagMIWeapon004,True,True,False,,Sword,WeaponMelee_Sword,xpack2,mi_n_troll_Sword_xpack2,Troll's Cutter,,Trolls_Cutter
records\xpack2\item\equipmentarmor\greaves\mi_n_valkyrie.dbr,x2tagMIArmor050,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_valkyrie_Greaves_xpack2,Boots of the Valkyrie,,Boots_of_the_Valkyrie
records\xpack2\item\equipmentarmor\torso\mi_n_yerren.dbr,x2tagMIArmor037,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_yerren_Armor_xpack2,Bear Rider's Garb,,Bear_Riders_Garb
records\xpack2\item\equipmentarmor\armband\mi_n_yerren.dbr,x2tagMIArmor038,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_yerren_Armbands_xpack2,Bear Rider's Bracers,,Bear_Riders_Bracers
records\xpack2\item\equipmentarmor\greaves\mi_n_yerren.dbr,x2tagMIArmor039,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_yerren_Greaves_xpack2,Bear Rider's Leggings,,Bear_Riders_Leggings
records\xpack3\items\equipmentarmor\armband\mi_n_coralguardianmage.dbr,x3tagMICoralGuardianArmsCaster,True,False,True,,Armbands,ArmorProtective_Forearm,xpack3,mi_n_coralguardianmage_Armbands_xpack3,mi_n_coralguardianmage_Armbands_xpack3,,mi_n_coralguardianmage_Armbands_xpack3
records\xpack3\items\equipmentarmor\greaves\mi_n_coralguardianmage.dbr,x3tagMICoralGuardianLegsCaster,True,False,True,,Greaves,ArmorProtective_LowerBody,xpack3,mi_n_coralguardianmage_Greaves_xpack3,mi_n_coralguardianmage_Greaves_xpack3,,mi_n_coralguardianmage_Greaves_xpack3
records\xpack3\items\equipmentarmor\helm\mi_n_coralguardianmage.dbr,x3tagMICoralGuardianHeadCaster,True,False,True,,Helm,ArmorProtective_Head,xpack3,mi_n_coralguardianmage_Helm_xpack3,mi_n_coralguardianmage_Helm_xpack3,,mi_n_coralguardianmage_Helm_xpack3
records\xpack3\items\equipmentarmor\torso\mi_n_coralguardianmage.dbr,x3tagMICoralGuardianTorsoCaster,True,False,True,,Armor,ArmorProtective_UpperBody,xpack3,mi_n_coralguardianmage_Armor_xpack3,mi_n_coralguardianmage_Armor_xpack3,,mi_n_coralguardianmage_Armor_xpack3
records\xpack3\items\equipmentarmor\armband\mi_n_coralguardianmelee.dbr,x3tagMICoralGuardianArms,True,False,True,,Armbands,ArmorProtective_Forearm,xpack3,mi_n_coralguardianmelee_Armbands_xpack3,mi_n_coralguardianmelee_Armbands_xpack3,,mi_n_coralguardianmelee_Armbands_xpack3
records\xpack3\items\equipmentarmor\greaves\mi_n_coralguardianmelee.dbr,x3tagMICoralGuardianLegs,True,False,True,,Greaves,ArmorProtective_LowerBody,xpack3,mi_n_coralguardianmelee_Greaves_xpack3,mi_n_coralguardianmelee_Greaves_xpack3,,mi_n_coralguardianmelee_Greaves_xpack3
records\xpack3\items\equipmentarmor\helm\mi_n_coralguardianmelee.dbr,x3tagMICoralGuardianHead,True,False,True,,Helm,ArmorProtective_Head,xpack3,mi_n_coralguardianmelee_Helm_xpack3,mi_n_coralguardianmelee_Helm_xpack3,,mi_n_coralguardianmelee_Helm_xpack3
records\xpack3\items\equipmentarmor\torso\mi_n_coralguardianmelee.dbr,x3tagMICoralGuardianTorso,True,False,True,,Armor,ArmorProtective_UpperBody,xpack3,mi_n_coralguardianmelee_Armor_xpack3,mi_n_coralguardianmelee_Armor_xpack3,,mi_n_coralguardianmelee_Armor_xpack3
records\xpack3\items\equipmentweapon\axe\mi_n_coralguardian.dbr,x3tagMICoralGuardianAxe,True,False,True,,Axe,WeaponMelee_Axe,xpack3,mi_n_coralguardian_Axe_xpack3,mi_n_coralguardian_Axe_xpack3,,mi_n_coralguardian_Axe_xpack3
records\xpack3\items\equipmentweapon\bow\mi_n_coralguardian.dbr,x3tagMICoralGuardianBow,True,False,True,,Bow,WeaponHunting_Bow,xpack3,mi_n_coralguardian_Bow_xpack3,mi_n_coralguardian_Bow_xpack3,,mi_n_coralguardian_Bow_xpack3
records\xpack3\items\equipmentweapon\club\mi_n_coralguardian.dbr,x3tagMICoralGuardianClub,True,False,True,,Mace,WeaponMelee_Mace,xpack3,mi_n_coralguardian_Mace_xpack3,mi_n_coralguardian_Mace_xpack3,,mi_n_coralguardian_Mace_xpack3
records\xpack3\items\equipmentweapon\shield\mi_n_coralguardian.dbr,x3tagMICoralGuardianShield,True,False,True,,Shield,WeaponArmor_Shield,xpack3,mi_n_coralguardian_Shield_xpack3,mi_n_coralguardian_Shield_xpack3,,mi_n_coralguardian_Shield_xpack3
records\xpack3\items\equipmentweapon\spear\mi_n_coralguardian.dbr,x3tagMICoralGuardianSpear,True,False,True,,Spear,WeaponHunting_Spear,xpack3,mi_n_coralguardian_Spear_xpack3,mi_n_coralguardian_Spear_xpack3,,mi_n_coralguardian_Spear_xpack3
records\xpack3\items\equipmentweapon\sword\mi_n_coralguardian.dbr,x3tagMICoralGuardianSword,True,False,True,,Sword,WeaponMelee_Sword,xpack3,mi_n_coralguardian_Sword_xpack3,mi_n_coralguardian_Sword_xpack3,,mi_n_coralguardian_Sword_xpack3
records\xpack3\items\equipmentweapon\staff\mi_n_coralguardian_fire.dbr,x3tagMICoralGuardianStaff,True,False,True,,Staff,WeaponMagical_Staff,xpack3,mi_n_coralguardian_fire_Staff_xpack3,mi_n_coralguardian_fire_Staff_xpack3,,mi_n_coralguardian_fire_Staff_xpack3
records\xpack3\items\equipmentweapon\staff\mi_n_coralguardian_frost.dbr,x3tagMICoralGuardianStaff,True,False,True,,Staff,WeaponMagical_Staff,xpack3,mi_n_coralguardian_frost_Staff_xpack3,mi_n_coralguardian_frost_Staff_xpack3,,mi_n_coralguardian_frost_Staff_xpack3
records\xpack3\items\equipmentweapon\staff\mi_n_coralguardian_lightning.dbr,x3tagMICoralGuardianStaff,True,False,True,,Staff,WeaponMagical_Staff,xpack3,mi_n_coralguardian_lightning_Staff_xpack3,mi_n_coralguardian_lightning_Staff_xpack3,,mi_n_coralguardian_lightning_Staff_xpack3
records\xpack3\items\equipmentarmor\armband\mi_n_embalmedpriestmage.dbr,x3tagMIEmbalmedPriestArmsCaster,True,False,True,,Armbands,ArmorProtective_Forearm,xpack3,mi_n_embalmedpriestmage_Armbands_xpack3,mi_n_embalmedpriestmage_Armbands_xpack3,,mi_n_embalmedpriestmage_Armbands_xpack3
records\xpack3\items\equipmentarmor\greaves\mi_n_embalmedpriestmage.dbr,x3tagMIEmbalmedPriestLegsCaster,True,False,True,,Greaves,ArmorProtective_LowerBody,xpack3,mi_n_embalmedpriestmage_Greaves_xpack3,mi_n_embalmedpriestmage_Greaves_xpack3,,mi_n_embalmedpriestmage_Greaves_xpack3
