Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record,dbr,pack,id
Alexander's Plumed Helm,Legendary,71.0,ArmorProtective_Head,Alexander's Panoply,TQ,us_l_alexander'spanoply.dbr,records\item\equipmenthelm\us_l_alexander'spanoply.dbr,us_l_alexander'spanoply.dbr,Original,Alexanders_Plumed_Helm_0
Tunic of Alfheim,MonsterInfrequent Epic,60.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_alfr.dbr,records\xpack2\item\equipmentarmor\torso\mi_e_alfr.dbr,mi_e_alfr.dbr,xpack2,Tunic_of_Alfheim_0
Essence of Shen-Nong's Dark Medicine,Common,,ItemRelic,,TQ,01_act3_shennongsdarkmedicine.dbr,records\item\relics\01_act3_shennongsdarkmedicine.dbr,01_act3_shennongsdarkmedicine.dbr,Original,Essence_of_Shen_Nongs_Dark_Medicine_0
Might of Hephaestus,Divine,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_da_mightofhephaestus.dbr,records\xpack\item\artifacts\e_da_mightofhephaestus.dbr,e_da_mightofhephaestus.dbr,xpack,Might_of_Hephaestus_0
Troll Tusks,Common,,ItemCharm,,TQ Ragnarok,xpack2/01_act5_trolltusks.dbr,records\xpack2\item\charms\01_act5_trolltusks.dbr,01_act5_trolltusks.dbr,xpack2,Troll_Tusks_0
Witch Doctor's Vestment,MonsterInfrequent Legendary,68.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_anouranmage.dbr,records\xpack\item\equipmentarmor\torso\mi_l_anouranmage.dbr,mi_l_anouranmage.dbr,xpack,Witch_Doctors_Vestment_0
Fafnir's Teeth,Epic,28.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_n_10.dbr,records\xpack2\item\equipmentweapons\1hranged\u_n_10.dbr,u_n_10.dbr,xpack2,Fafnirs_Teeth_0
Master Seer Robe,MonsterInfrequent Normal,37.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_n_dvergrmage.dbr,records\xpack2\item\equipmentarmor\torso\mi_n_dvergrmage.dbr,mi_n_dvergrmage.dbr,xpack2,Master_Seer_Robe_0
Pristine Plumage,Common,,ItemCharm,,TQ,01_act1_pristineplumage.dbr,records\item\animalrelics\01_act1_pristineplumage.dbr,01_act1_pristineplumage.dbr,Original,Pristine_Plumage_0
Death's Wings,Epic,22.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_n_07.dbr,records\xpack2\item\equipmentweapons\1hranged\u_n_07.dbr,u_n_07.dbr,xpack2,Deaths_Wings_0
Plouton's Cornucopia,Legendary,75.0,ArmorProtective_UpperBody,Plouton's Vestments,TQ Immortal Throne,xpack/usm_l_001.dbr,records\xpack\item\equipmentarmor\torso\usm_l_001.dbr,usm_l_001.dbr,xpack,Ploutons_Cornucopia_0
Paean,Epic,12.0,ArmorJewelry_Amulet,,TQ,u_n_paean.dbr,records\item\equipmentamulet\u_n_paean.dbr,u_n_paean.dbr,Original,Paean_0
Key of Elysium,Legendary,59.0,WeaponMelee_Axe,,TQ Immortal Throne,xpack/u_e_003.dbr,records\xpack\item\equipmentweapons\axe\u_e_003.dbr,u_e_003.dbr,xpack,Key_of_Elysium_0
Porphyrion's Gauntlets,MonsterInfrequent Legendary,71.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_l_gigantesmelee.dbr,records\xpack\item\equipmentarmor\armband\mi_l_gigantesmelee.dbr,mi_l_gigantesmelee.dbr,xpack,Porphyrions_Gauntlets_0
Embodiment of Zeus' Thunderbolt,Common,,ItemRelic,,TQ,02_act1_zeusthunderbolt.dbr,records\item\relics\02_act1_zeusthunderbolt.dbr,02_act1_zeusthunderbolt.dbr,Original,Embodiment_of_Zeus_Thunderbolt_0
Windswept Bracers,MonsterInfrequent Legendary,63.0,ArmorProtective_Forearm,,TQ,mi_l_duneraider.dbr,records\item\equipmentarmband\mi_l_duneraider.dbr,mi_l_duneraider.dbr,Original,Windswept_Bracers_0
Dvergr-Forged Edge Mace,MonsterInfrequent Epic,59.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/mi_e_dvergr.dbr,records\xpack2\item\equipmentweapons\club\mi_e_dvergr.dbr,mi_e_dvergr.dbr,xpack2,Dvergr_Forged_Edge_Mace_1
Helm of the Firewalker,Epic,45.0,ArmorProtective_Head,Firewalker's Suit,TQ,us_e_firewalker'ssuit.dbr,records\item\equipmenthelm\us_e_firewalker'ssuit.dbr,us_e_firewalker'ssuit.dbr,Original,Helm_of_the_Firewalker_0
Legionnaire's Visor,Legendary,75.0,ArmorProtective_Head,Armament of the Fiery Legion,TQ Immortal Throne,xpack/us_l_001.dbr,records\xpack\item\equipmentarmor\helm\us_l_001.dbr,us_l_001.dbr,xpack,Legionnaires_Visor_0
Epic Hag's Skin,Common,,ItemCharm,,TQ,02_act2_hagsskin.dbr,records\item\animalrelics\02_act2_hagsskin.dbr,02_act2_hagsskin.dbr,Original,Epic_Hags_Skin_0
Harness of Valhöll,MonsterInfrequent Legendary,78.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,records\xpack2\item\equipmentarmor\torso\mi_l_einherjar.dbr,mi_l_einherjar.dbr,xpack2,Harness_of_Valhöll_0
Warchief's Leggings,MonsterInfrequent Legendary,70.0,ArmorProtective_LowerBody,,TQ,mi_l_yerren.dbr,records\item\equipmentgreaves\mi_l_yerren.dbr,mi_l_yerren.dbr,Original,Warchiefs_Leggings_0
Bristleback Helm,Epic,61.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_e_05.dbr,records\xpack2\item\equipmentarmor\helm\u_e_05.dbr,u_e_05.dbr,xpack2,Bristleback_Helm_0
Bloodrage,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_la_bloodrage.dbr,records\xpack\item\artifacts\n_la_bloodrage.dbr,n_la_bloodrage.dbr,xpack,Bloodrage_0
Wings of Carnus,Legendary,70.0,ArmorProtective_UpperBody,Raiment of Carnus,TQ Immortal Throne,xpack/usm_l_002.dbr,records\xpack\item\equipmentarmor\torso\usm_l_002.dbr,usm_l_002.dbr,xpack,Wings_of_Carnus_0
Shaman's Coil,MonsterInfrequent Normal,24.0,ArmorProtective_Forearm,,TQ,mi_n_neanderthalmage.dbr,records\item\equipmentarmband\mi_n_neanderthalmage.dbr,mi_n_neanderthalmage.dbr,Original,Shamans_Coil_0
Plouton's Crown,Legendary,75.0,ArmorProtective_Head,Plouton's Vestments,TQ Immortal Throne,xpack/usm_l_001.dbr,records\xpack\item\equipmentarmor\helm\usm_l_001.dbr,usm_l_001.dbr,xpack,Ploutons_Crown_0
Ichthian Whomper,MonsterInfrequent Normal,22.0,WeaponMelee_Mace,,TQ,mi_n_ichthianmelee.dbr,records\item\equipmentweapon\club\mi_n_ichthianmelee.dbr,mi_n_ichthianmelee.dbr,Original,Ichthian_Whomper_0
Stonebinder's Sash,MonsterInfrequent Normal,12.0,ArmorProtective_UpperBody,,TQ,mi_n_gorgonarcher.dbr,records\item\equipmentarmor\mi_n_gorgonarcher.dbr,mi_n_gorgonarcher.dbr,Original,Stonebinders_Sash_0
Boots of the Valkyrie,MonsterInfrequent Epic,60.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_e_valkyrie.dbr,records\xpack2\item\equipmentarmor\greaves\mi_e_valkyrie.dbr,mi_e_valkyrie.dbr,xpack2,Boots_of_the_Valkyrie_0
Deerstalker Hat,Epic,50.0,ArmorProtective_Head,Raiment of the Baker Street Sage,TQ Immortal Throne,xpack/z_sleuth01.dbr,records\xpack\item\equipmentarmor\helm\z_sleuth01.dbr,z_sleuth01.dbr,xpack,Deerstalker_Hat_0
Theban Cuirass,Epic,12.0,ArmorProtective_UpperBody,Theban Panoply,TQ,us_n_thebanpanoply.dbr,records\item\equipmentarmor\us_n_thebanpanoply.dbr,us_n_thebanpanoply.dbr,Original,Theban_Cuirass_0
Master Forge Cuirass,MonsterInfrequent Epic,59.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_dvergrmelee.dbr,records\xpack2\item\equipmentarmor\torso\mi_e_dvergrmelee.dbr,mi_e_dvergrmelee.dbr,xpack2,Master_Forge_Cuirass_0
Ceremonial Bracers,MonsterInfrequent Legendary,63.0,ArmorProtective_Forearm,,TQ,mi_l_mummy.dbr,records\item\equipmentarmband\mi_l_mummy.dbr,mi_l_mummy.dbr,Original,Ceremonial_Bracers_0
Embodiment of Artemis' Bowstring,Common,,ItemRelic,,TQ,02_act1_artemisbowstring.dbr,records\item\relics\02_act1_artemisbowstring.dbr,02_act1_artemisbowstring.dbr,Original,Embodiment_of_Artemis_Bowstring_0
Crown of Erebus,Epic,33.0,ArmorProtective_Head,Vestments of Erebus,TQ Immortal Throne,xpack/usm_n_001.dbr,records\xpack\item\equipmentarmor\helm\usm_n_001.dbr,usm_n_001.dbr,xpack,Crown_of_Erebus_0
Embodiment of Persephone's Tears,Common,,ItemRelic,,TQ Immortal Throne,xpack/02_act4_persephonestears.dbr,records\xpack\item\relics\02_act4_persephonestears.dbr,02_act4_persephonestears.dbr,xpack,Embodiment_of_Persephones_Tears_0
Bloodborn Visor,MonsterInfrequent Legendary,71.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_l_melinoemage.dbr,records\xpack\item\equipmentarmor\helm\mi_l_melinoemage.dbr,mi_l_melinoemage.dbr,xpack,Bloodborn_Visor_0
Mantle of Evisceration,Epic,24.0,ArmorProtective_UpperBody,,TQ,u_n_mantleofevisceration.dbr,records\item\equipmentarmor\u_n_mantleofevisceration.dbr,u_n_mantleofevisceration.dbr,Original,Mantle_of_Evisceration_0
Shadowformed Band,Epic,46.0,ArmorJewelry_Ring,,TQ,u_e_shadowformedband.dbr,records\item\equipmentring\u_e_shadowformedband.dbr,u_e_shadowformedband.dbr,Original,Shadowformed_Band_0
Rogue's Greaves,Epic,49.0,ArmorProtective_LowerBody,Rogue's Cover,TQ,us_e_rogue'scover.dbr,records\item\equipmentgreaves\us_e_rogue'scover.dbr,us_e_rogue'scover.dbr,Original,Rogues_Greaves_0
Troll's Splitter,MonsterInfrequent Legendary,76.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/mi_l_troll.dbr,records\xpack2\item\equipmentweapons\axe\mi_l_troll.dbr,mi_l_troll.dbr,xpack2,Trolls_Splitter_0
Arcane Formula ~ Might of Hephaestus,Divine,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_da_mightofhephaestus_formula.dbr,records\xpack\item\artifacts\arcaneformulae\e_da_mightofhephaestus_formula.dbr,e_da_mightofhephaestus_formula.dbr,xpack,Arcane_Formula_~_Might_of_Hephaestus_0
Bow of Herakles,Legendary,68.0,WeaponHunting_Bow,,TQ,u_l_bowofheracles.dbr,records\item\equipmentweapon\bow\u_l_bowofheracles.dbr,u_l_bowofheracles.dbr,Original,Bow_of_Herakles_0
Sabertooth,MonsterInfrequent Normal,25.0,WeaponMelee_Sword,,TQ,mi_n_tigermanmelee.dbr,records\item\equipmentweapon\sword\mi_n_tigermanmelee.dbr,mi_n_tigermanmelee.dbr,Original,Sabertooth_0
Cleopatra's Short Sword,Epic,16.0,WeaponMelee_Sword,,TQ,u_n_cleopatrasshortsword.dbr,records\item\equipmentweapon\sword\u_n_cleopatrasshortsword.dbr,u_n_cleopatrasshortsword.dbr,Original,Cleopatras_Short_Sword_0
Myrmidon's Chitin,MonsterInfrequent Epic,57.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_e_formicidmelee02.dbr,records\xpack\item\equipmentarmor\torso\mi_e_formicidmelee02.dbr,mi_e_formicidmelee02.dbr,xpack,Myrmidons_Chitin_0
Warlord's Coat,MonsterInfrequent Epic,49.0,ArmorProtective_UpperBody,,TQ,mi_e_tigermanchampion.dbr,records\item\equipmentarmor\mi_e_tigermanchampion.dbr,mi_e_tigermanchampion.dbr,Original,Warlords_Coat_0
Shredwind,Epic,33.0,WeaponHunting_Bow,,TQ Immortal Throne,xpack/u_n_002.dbr,records\xpack\item\equipmentweapons\bow\u_n_002.dbr,u_n_002.dbr,xpack,Shredwind_0
Bloodborn Visor,MonsterInfrequent Normal,32.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_n_melinoemage.dbr,records\xpack\item\equipmentarmor\helm\mi_n_melinoemage.dbr,mi_n_melinoemage.dbr,xpack,Bloodborn_Visor_1
Stormraven Sword,MonsterInfrequent Legendary,77.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/mi_l_mercenary.dbr,records\xpack2\item\equipmentweapons\sword\mi_l_mercenary.dbr,mi_l_mercenary.dbr,xpack2,Stormraven_Sword_0
Final Breath,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_ga_finalbreath.dbr,records\xpack\item\artifacts\e_ga_finalbreath.dbr,e_ga_finalbreath.dbr,xpack,Final_Breath_0
Troll's Branch,MonsterInfrequent Normal,35.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/mi_n_troll.dbr,records\xpack2\item\equipmentweapons\staff\mi_n_troll.dbr,mi_n_troll.dbr,xpack2,Trolls_Branch_0
Fine Gallic Boots,Epic,37.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_n_03.dbr,records\xpack2\item\equipmentarmor\greaves\u_n_03.dbr,u_n_03.dbr,xpack2,Fine_Gallic_Boots_0
Grand Chieftain's Torc,Epic,61.0,ArmorJewelry_Amulet,,TQ Ragnarok,xpack2/u_e_004.dbr,records\xpack2\item\equipmentarmor\amulet\u_e_004.dbr,u_e_004.dbr,xpack2,Grand_Chieftains_Torc_0
Arcane Formula ~ Heart of Earth,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_ga_heartofearth_formula.dbr,records\xpack\item\artifacts\arcaneformulae\e_ga_heartofearth_formula.dbr,e_ga_heartofearth_formula.dbr,xpack,Arcane_Formula_~_Heart_of_Earth_0
Molten Orb,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_la_moltenorb.dbr,records\xpack\item\artifacts\n_la_moltenorb.dbr,n_la_moltenorb.dbr,xpack,Molten_Orb_0
Soul Spike,Epic,33.0,WeaponHunting_Spear,Panoply of the Moirae,TQ Immortal Throne,xpack/us_n_001.dbr,records\xpack\item\equipmentweapons\spear\us_n_001.dbr,us_n_001.dbr,xpack,Soul_Spike_0
Seidr Bones,Lesser,5.0,ItemArtifact,,TQ Ragnarok,xpack2/n_la_seidrbones.dbr,records\xpack2\item\artifacts\n_la_seidrbones.dbr,n_la_seidrbones.dbr,xpack2,Seidr_Bones_0
Rogue's Headband,Epic,52.0,ArmorProtective_Head,Rogue's Cover,TQ,us_e_rogue'scover.dbr,records\item\equipmenthelm\us_e_rogue'scover.dbr,us_e_rogue'scover.dbr,Original,Rogues_Headband_0
Legendary Venom Sac,Common,,ItemCharm,,TQ,03_multacts_venomsac.dbr,records\item\animalrelics\03_multacts_venomsac.dbr,03_multacts_venomsac.dbr,Original,Legendary_Venom_Sac_0
Essence of the Jade Emperor's Serenity,Common,,ItemRelic,,TQ,01_act3_jadeemperorsserenity.dbr,records\item\relics\01_act3_jadeemperorsserenity.dbr,01_act3_jadeemperorsserenity.dbr,Original,Essence_of_the_Jade_Emperors_Serenity_0
Shadow Veil,Epic,50.0,ArmorProtective_Head,Shadow Guard,TQ,us_e_shadowguard.dbr,records\item\equipmenthelm\us_e_shadowguard.dbr,us_e_shadowguard.dbr,Original,Shadow_Veil_0
Ethereal Clasp,MonsterInfrequent Legendary,60.0,ArmorProtective_Forearm,,TQ,mi_l_wraith.dbr,records\item\equipmentarmband\mi_l_wraith.dbr,mi_l_wraith.dbr,Original,Ethereal_Clasp_0
Grip of Carnus,Legendary,70.0,ArmorProtective_Forearm,Raiment of Carnus,TQ Immortal Throne,xpack/usm_l_002.dbr,records\xpack\item\equipmentarmor\armband\usm_l_002.dbr,usm_l_002.dbr,xpack,Grip_of_Carnus_0
Chthonic Legwraps,Legendary,59.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/um_e_002.dbr,records\xpack\item\equipmentarmor\greaves\um_e_002.dbr,um_e_002.dbr,xpack,Chthonic_Legwraps_0
Windswept Harness,MonsterInfrequent Normal,16.0,ArmorProtective_UpperBody,,TQ,mi_n_duneraider.dbr,records\item\equipmentarmor\mi_n_duneraider.dbr,mi_n_duneraider.dbr,Original,Windswept_Harness_0
Soulflay Fork,Legendary,59.0,WeaponHunting_Spear,,TQ Immortal Throne,xpack/u_e_002.dbr,records\xpack\item\equipmentweapons\spear\u_e_002.dbr,u_e_002.dbr,xpack,Soulflay_Fork_0
Atalanta's Bow,Legendary,65.0,WeaponHunting_Bow,,TQ,u_l_atalanta'sbow.dbr,records\item\equipmentweapon\bow\u_l_atalanta'sbow.dbr,u_l_atalanta'sbow.dbr,Original,Atalantas_Bow_0
Quiver of N'Imh,MonsterInfrequent Legendary,67.0,ArmorProtective_UpperBody,,TQ,mi_l_ratmanarcher.dbr,records\item\equipmentarmor\mi_l_ratmanarcher.dbr,mi_l_ratmanarcher.dbr,Original,Quiver_of_NImh_0
Gog,MonsterInfrequent Epic,57.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_e_troglodytemelee.dbr,records\xpack\item\equipmentarmor\greaves\mi_e_troglodytemelee.dbr,mi_e_troglodytemelee.dbr,xpack,Gog_0
Arcane Formula ~ Tongue of Flame,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/l_la_tongueofflame_formula.dbr,records\xpack\item\artifacts\arcaneformulae\l_la_tongueofflame_formula.dbr,l_la_tongueofflame_formula.dbr,xpack,Arcane_Formula_~_Tongue_of_Flame_0
Crystal Ring,Epic,42.0,ArmorJewelry_Ring,The Ice Crystals,TQ,u_e_crystalring.dbr,records\item\equipmentring\u_e_crystalring.dbr,u_e_crystalring.dbr,Original,Crystal_Ring_0
Feng Xao's Meditation Robes,Legendary,65.0,ArmorProtective_UpperBody,,TQ,um_l_fengxao'smeditationrobes.dbr,records\item\equipmentarmor\um_l_fengxao'smeditationrobes.dbr,um_l_fengxao'smeditationrobes.dbr,Original,Feng_Xaos_Meditation_Robes_0
Thorny Maul,Legendary,53.0,WeaponMelee_Mace,,TQ,u_e_thornymaul.dbr,records\item\equipmentweapon\club\u_e_thornymaul.dbr,u_e_thornymaul.dbr,Original,Thorny_Maul_0
Ethereal Leggings,MonsterInfrequent Legendary,63.0,ArmorProtective_LowerBody,,TQ,mi_l_wraith.dbr,records\item\equipmentgreaves\mi_l_wraith.dbr,mi_l_wraith.dbr,Original,Ethereal_Leggings_0
Apple Bearer's Mail,Epic,39.0,ArmorProtective_UpperBody,Armor of the Immortal Guard,TQ,us_e_armoroftheimmortalguard.dbr,records\item\equipmentarmor\us_e_armoroftheimmortalguard.dbr,us_e_armoroftheimmortalguard.dbr,Original,Apple_Bearers_Mail_0
Epic Troll Tusks,Common,,ItemCharm,,TQ Ragnarok,xpack2/02_act5_trolltusks.dbr,records\xpack2\item\charms\02_act5_trolltusks.dbr,02_act5_trolltusks.dbr,xpack2,Epic_Troll_Tusks_0
Lo Ren Cuirass,Epic,24.0,ArmorProtective_UpperBody,,TQ,u_n_lorencuirass.dbr,records\item\equipmentarmor\u_n_lorencuirass.dbr,u_n_lorencuirass.dbr,Original,Lo_Ren_Cuirass_0
Essence of Persephone's Tears,Common,,ItemRelic,,TQ Immortal Throne,xpack/01_act4_persephonestears.dbr,records\xpack\item\relics\01_act4_persephonestears.dbr,01_act4_persephonestears.dbr,xpack,Essence_of_Persephones_Tears_0
Jade Clasp,Epic,28.0,ArmorProtective_Forearm,Jade Jewellery,TQ,um_n_jadeclasp.dbr,records\item\equipmentarmband\um_n_jadeclasp.dbr,um_n_jadeclasp.dbr,Original,Jade_Clasp_0
Thyestes' Scheme,Legendary,65.0,WeaponMelee_Sword,,TQ,u_l_thyestes'scheme.dbr,records\item\equipmentweapon\sword\u_l_thyestes'scheme.dbr,u_l_thyestes'scheme.dbr,Original,Thyestes_Scheme_0
Lupine Vestment,MonsterInfrequent Legendary,63.0,ArmorProtective_UpperBody,,TQ,mi_l_jackalmanmage.dbr,records\item\equipmentarmor\mi_l_jackalmanmage.dbr,mi_l_jackalmanmage.dbr,Original,Lupine_Vestment_0
Bloodthirst the Glutton,Legendary,50.0,WeaponArmor_Shield,,TQ,u_e_bloodthirsttheglutton.dbr,records\item\equipmentshield\u_e_bloodthirsttheglutton.dbr,u_e_bloodthirsttheglutton.dbr,Original,Bloodthirst_the_Glutton_0
Alcyoneus’ Gauntlets,MonsterInfrequent Normal,,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_n_gigantesmelee02.dbr,records\xpack\item\equipmentarmor\armband\mi_n_gigantesmelee02.dbr,mi_n_gigantesmelee02.dbr,xpack,Alcyoneus’_Gauntlets_0
Bonebreaker Cowl,MonsterInfrequent Normal,35.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_n_troll.dbr,records\xpack2\item\equipmentarmor\helm\mi_n_troll.dbr,mi_n_troll.dbr,xpack2,Bonebreaker_Cowl_0
Essence of Donar's Hammer,Common,,ItemRelic,,TQ Ragnarok,xpack2/01_act5_donarshammer.dbr,records\xpack2\item\relics\01_act5_donarshammer.dbr,01_act5_donarshammer.dbr,xpack2,Essence_of_Donars_Hammer_0
Vestment of Ker,MonsterInfrequent Legendary,69.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_keresmage.dbr,records\xpack\item\equipmentarmor\torso\mi_l_keresmage.dbr,mi_l_keresmage.dbr,xpack,Vestment_of_Ker_0
Revenant Crown,MonsterInfrequent Normal,17.0,ArmorProtective_Head,,TQ,mi_n_goldenskeleton.dbr,records\item\equipmenthelm\mi_n_goldenskeleton.dbr,mi_n_goldenskeleton.dbr,Original,Revenant_Crown_0
Bonebreaker Mail,MonsterInfrequent Epic,57.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_troll.dbr,records\xpack2\item\equipmentarmor\torso\mi_e_troll.dbr,mi_e_troll.dbr,xpack2,Bonebreaker_Mail_0
Shaman's Coil,MonsterInfrequent Legendary,67.0,ArmorProtective_Forearm,,TQ,mi_l_neanderthalmage.dbr,records\item\equipmentarmband\mi_l_neanderthalmage.dbr,mi_l_neanderthalmage.dbr,Original,Shamans_Coil_1
Archmage's Mantle,Legendary,68.0,ArmorProtective_UpperBody,Archmage's Regalia,TQ,usm_l_archmage'sregalia.dbr,records\item\equipmentarmor\usm_l_archmage'sregalia.dbr,usm_l_archmage'sregalia.dbr,Original,Archmages_Mantle_0
Staff of the Deep,MonsterInfrequent Epic,58.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/mi_e_fjordmage.dbr,records\xpack2\item\equipmentweapons\staff\mi_e_fjordmage.dbr,mi_e_fjordmage.dbr,xpack2,Staff_of_the_Deep_0
Erysichthon's Hunger,Legendary,65.0,WeaponMelee_Axe,,TQ,u_l_erysichthon'shunger.dbr,records\item\equipmentweapon\axe\u_l_erysichthon'shunger.dbr,u_l_erysichthon'shunger.dbr,Original,Erysichthons_Hunger_0
Porphyrion's Helm,MonsterInfrequent Epic,58.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_e_gigantesmelee01.dbr,records\xpack\item\equipmentarmor\helm\mi_e_gigantesmelee01.dbr,mi_e_gigantesmelee01.dbr,xpack,Porphyrions_Helm_0
Blacksteel Bulwark,MonsterInfrequent Epic,60.0,WeaponArmor_Shield,,TQ Ragnarok,xpack2/mi_e_eldjotun.dbr,records\xpack2\item\equipmentweapons\shield\mi_e_eldjotun.dbr,mi_e_eldjotun.dbr,xpack2,Blacksteel_Bulwark_0
Crimson Viper,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_ga_crimsonviper.dbr,records\xpack\item\artifacts\e_ga_crimsonviper.dbr,e_ga_crimsonviper.dbr,xpack,Crimson_Viper_0
Crown of Dockma'Ar,Legendary,59.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/um_e_002.dbr,records\xpack\item\equipmentarmor\helm\um_e_002.dbr,um_e_002.dbr,xpack,Crown_of_DockmaAr_0
Brute's Plate,MonsterInfrequent Normal,5.0,ArmorProtective_UpperBody,,TQ,mi_n_satyrbrute.dbr,records\item\equipmentarmor\mi_n_satyrbrute.dbr,mi_n_satyrbrute.dbr,Original,Brutes_Plate_0
Arcane Formula ~ Deathrattle,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_deathrattle_formula.dbr,records\xpack\item\artifacts\arcaneformulae\n_la_deathrattle_formula.dbr,n_la_deathrattle_formula.dbr,xpack,Arcane_Formula_~_Deathrattle_0
