dbr,id,isit,isr,isatl,find
item\equipmentarmband\mi_n_goldenskeleton.dbr,tagMIArmor005,false,false,false,"All Gilded Dead, Valley of Kings, @act02$"
item\equipmentarmor\mi_n_goldenskeleton.dbr,tagMIArmor056,false,false,false,"All Gilded Dead, Valley of Kings, @act02$"
xpack2\item\equipmentweapons\1hranged\mi_n_skeleton.dbr,x2tagMIWeapon023,true,true,false,
item\equipmenthelm\mi_n_gorgon.dbr,tagMIArmor037,false,false,false,"All Gorgons except Guards, Euryale, Medusa, Stheno, @act01$"
item\equipmentarmband\mi_n_gorgonarcher.dbr,tagMIArmor006,false,false,false,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$"
item\equipmenthelm\mi_n_gorgonarcher.dbr,tagMIArmor038,false,false,false,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$"
item\equipmentarmor\mi_n_gorgonarcher.dbr,tagMIArmor057,false,false,false,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$"
item\equipmenthelm\mi_n_gorgonmelee.dbr,tagMIArmor039,false,false,false,"Guard, Archer, Slayer; Hero: Keleos, @act01$"
item\equipmentarmor\mi_n_gorgonmelee.dbr,tagMIArmor058,false,false,false,"Guard, Archer, Slayer; Hero: Keleos, @act01$"
item\equipmentarmband\mi_n_gorgonmelee.dbr,tagMIArmor007,false,false,false,"Guard, Archer, Slayer; Hero: Keleos, @act01$"
item\equipmentarmor\mi_n_ichthianmage.dbr,tagMIArmor059,false,false,false,"All Bonecasters, all Shamans, Shaman's Apprentice, @act03$"
item\equipmenthelm\mi_n_ichthianmage.dbr,tagMIArmor040,false,false,false,"All Bonecasters, all Shamans, Shaman's Apprentice, @act03$"
item\equipmentweapon\club\mi_n_ichthianmelee.dbr,tagMIWeapon011,false,false,false,"Myrmidon, Piscean Warrior, Lord of the Deep; Heroes: Cenon, Melchior, Mehrdad, @act03$"
item\equipmentarmor\mi_n_ichthianmelee.dbr,tagMIArmor060,false,false,false,"Myrmidon, Piscean Warrior, Lord of the Deep; Heroes: Cenon, Melchior, Mehrdad, @act03$"
item\equipmentweapon\spear\mi_n_ichthianmelee.dbr,tagMIWeapon014,false,false,false,"All Trappers, @act03$"
item\equipmentarmband\mi_n_jackalmanmage.dbr,tagMIArmor008,false,false,false,"All Shamans, @act02$"
item\equipmenthelm\mi_n_jackalmanmage.dbr,tagMIArmor041,false,false,false,"All Shamans, Acolyte, Adept; Heroes: Akiiki, Yazid, @act02$"
item\equipmentarmor\mi_n_jackalmanmage.dbr,tagMIArmor061,false,false,false,"All Shamans, @act02$"
item\equipmentarmband\mi_n_jackalmanmelee.dbr,tagMIArmor009,false,false,false,"All Berserkers; Hero: Slobberjaw, @act02$"
item\equipmentarmor\mi_n_jackalmanmelee.dbr,tagMIArmor062,false,false,false,"All Berserkers; Hero: Slobberjaw, @act02$"
xpack2\item\equipmentweapons\1hranged\mi_n_jackalman.dbr,x2tagMIWeapon026,true,true,false,
item\equipmenthelm\mi_n_liche.dbr,tagMIArmor082,false,false,false,"All Abyssal Liches, @act03$"
item\equipmentweapon\staff\mi_n_liche.dbr,tagMIWeapon019,false,false,false,"All Abyssal Liches, @act03$"
xpack2\item\equipmentweapons\1hranged\mi_n_maenad.dbr,x2tagMIWeapon024,true,true,false,
item\equipmentarmband\mi_n_minotaur.dbr,tagMIArmor010,false,false,false,"Minotaur Lord, Minoan Labyrinth, @act01$"
item\equipmentarmor\mi_n_minotaur.dbr,tagMIArmor063,false,false,false,"Minotaur Lord, Minoan Labyrinth, @act01$"
item\equipmentweapon\axe\mi_n_minotaurlord.dbr,tagMIWeapon005,false,false,false,"Minotaur Lord, Minoan Labyrinth, @act01$"
item\equipmenthelm\mi_n_mummy.dbr,tagMIArmor042,false,false,false,"All Embalmed Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$"
item\equipmentarmor\mi_n_mummy.dbr,tagMIArmor064,false,false,false,"All Embalmed Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$"
item\equipmentgreaves\mi_n_mummy.dbr,tagMIArmor025,false,false,false,"All Embalmed Dead, all Desiccated Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$"
item\equipmentarmband\mi_n_mummy.dbr,tagMIArmor011,false,false,false,"All Embalmed Dead, all Desiccated Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$"
item\equipmentarmor\mi_n_neanderthalmage.dbr,tagMIArmor065,false,false,false,"Bonecaster, Shaman, Shaman's Apprentice, @act03$"
item\equipmentarmband\mi_n_neanderthalmage.dbr,tagMIArmor012,false,false,false,"Bonecaster, Shaman, Shaman's Apprentice, @act03$"
item\equipmentgreaves\mi_n_neanderthalmage.dbr,tagMIArmor026,false,false,false,"Bonecaster, Shaman, Shaman's Apprentice, @act03$"
item\equipmenthelm\mi_n_neanderthalmage.dbr,tagMIArmor043,false,false,false,"Bonecaster, Shaman, Shaman's Apprentice, @act03$"
item\equipmenthelm\mi_n_neanderthalmelee.dbr,tagMIArmor044,false,false,false,"Saber Rider, Warrior, Warchief; Heroes: Grom, Korat Bearkin, @act03$"
item\equipmentarmor\mi_n_neanderthalmelee.dbr,tagMIArmor066,false,false,false,"Saber Rider, Warrior, Warchief, Hunter, Trapper; Heroes: Grom, Korat Bearkin, @act03$"
item\equipmentarmband\mi_n_neanderthalmelee.dbr,tagMIArmor013,false,false,false,"Saber Rider, Warrior, Warchief, Hunter, Trapper; Heroes: Grom, Korat Bearkin, @act03$"
item\equipmentweapon\axe\mi_n_neanderthalmelee.dbr,tagMIWeapon006,false,false,false,"Warrior, Warchief, @act03$"
item\equipmentgreaves\mi_n_neanderthalmelee.dbr,tagMIArmor027,false,false,false,"Saber Rider, Warrior, Warchief, Hunter, Trapper; Heroes: Grom, Korat Bearkin, @act03$"
item\equipmentarmor\mi_n_ratmanarcher.dbr,tagMIArmor067,false,false,false,"All Archers, Temple of Marduk, @act03$"
item\equipmenthelm\mi_n_ratmanchampion.dbr,tagMIArmor045,false,false,false,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$"
item\equipmentarmband\mi_n_ratmanchampion.dbr,tagMIArmor014,false,false,false,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$"
item\equipmentgreaves\mi_n_ratmanchampion.dbr,tagMIArmor028,false,false,false,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$"
item\equipmentarmor\mi_n_ratmanchampion.dbr,tagMIArmor068,false,false,false,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$"
item\equipmentarmor\mi_n_ratmanmelee.dbr,tagMIArmor069,false,false,false,"Minion, Warrior, Temple of Marduk, @act03$"
item\equipmentarmband\mi_n_reptilian.dbr,tagMIArmor015,false,false,false,"Overseer, Centurion, Hulking Centurion; Heroes: Barroc, Drottuc, Ssark, @act02$"
item\equipmentarmor\mi_n_reptilian.dbr,tagMIArmor070,false,false,false,"Overseer, Centurion, Hulking Centurion; Heroes: Barroc, Drottuc, Ssark, @act02$"
item\equipmentweapon\bow\mi_n_satyrbrigand.dbr,tagMIWeapon009,false,false,false,"Boar Rider, Pillager, @act01$"
item\equipmentarmor\mi_n_satyrbrute.dbr,tagMIArmor071,false,false,false,"Guardian; Hero: Warchief Paphos, @act01$"
item\equipmentweapon\club\mi_n_satyrguardian.dbr,tagMIWeapon012,false,false,false,"Guardian; Hero: Warchief Paphos, @act01$"
item\equipmenthelm\mi_n_satyrmage.dbr,tagMIArmor046,false,false,false,"All mages; Heroes: Algos, Drusil, Fernos, Nesis, @act01$"
item\equipmentweapon\staff\mi_n_satyrmage.dbr,tagMIWeapon015,false,false,false,"All mages; Heroes: Algos, Drusil, Fernos, Nesis, @act01$"
item\equipmentarmband\mi_n_satyrmage.dbr,tagMIArmor016,false,false,false,"All mages; Heroes: Algos, Drusil, Fernos, Nesis, @act01$"
item\equipmentarmor\mi_n_telkine.dbr,tagMIArmor072,false,false,false,"Megalesios, Minoan Labyrinth, @act01$"
item\equipmentarmband\mi_n_telkine.dbr,tagMIArmor017,false,false,false,"Megalesios, Minoan Labyrinth, @act01$"
item\equipmentarmor\mi_n_tigermanchampion.dbr,tagMIArmor073,false,false,false,"War Lord, Pack Leader; Hero: Jun Shan, @act03$"
item\equipmentweapon\axe\mi_n_tigermanchampion.dbr,tagMIWeapon007,false,false,false,"War Lord, Pack Leader; Hero: Jun Shan, @act03$"
item\equipmenthelm\mi_n_tigermanchampion.dbr,tagMIArmor047,false,false,false,"War Lord, Pack Leader; Hero: Jun Shan, @act03$"
item\equipmentarmor\mi_n_tigermanmage.dbr,tagMIArmor074,false,false,false,"Adept, Acolyte, Sorcerer, Elite Sorcerer; Heroes: Miao Miao, Shao Hsin, @act03$"
item\equipmenthelm\mi_n_tigermanmage.dbr,tagMIArmor048,false,false,false,"Adept, Acolyte, Sorcerer, Elite Sorcerer; Heroes: Miao Miao, Shao Hsin, @act03$"
item\equipmentweapon\sword\mi_n_tigermanmelee.dbr,tagMIWeapon017,false,false,false,"Prowler, Elite Prowler, @act03$"
item\equipmentarmor\mi_n_tigermanmelee.dbr,tagMIArmor075,false,false,false,"Prowler, Elite Prowler, Archer, Elite Archer, @act03$"
item\equipmentgreaves\mi_n_tigermanmelee.dbr,tagMIArmor030,false,false,false,"Prowler, Elite Prowler, Archer, Elite Archer, @act03$"
item\equipmentarmband\mi_n_tigermanmelee.dbr,tagMIArmor018,false,false,false,"Prowler, Elite Prowler, Archer, Elite Archer, @act03$"
xpack2\item\equipmentweapons\1hranged\mi_n_tigerman.dbr,x2tagMIWeapon027,true,true,false,
item\equipmentshield\mi_n_tropicalarachnos.dbr,tagMIWeapon003,false,false,false,"Drone, Soldier, Veteran Soldier, Elite Soldier, @act03$"
item\equipmentarmband\mi_n_tropicalarachnos.dbr,tagMIArmor019,false,false,false,"Drone, Soldier, Veteran Soldier, Elite Soldier, Deathspinner; Hero: Prince Ch'kik't, @act03$"
item\equipmentarmor\mi_n_tropicalarachnos.dbr,tagMIArmor076,false,false,false,"All Arachnos; Hero: Prince Ch'kik't, @act03$"
item\equipmenthelm\mi_n_tropicalarachnos.dbr,tagMIArmor049,false,false,false,"All Arachnos; Hero: Prince Ch'kik't, @act03$"
item\equipmentarmband\mi_n_wraith.dbr,tagMIArmor020,false,false,false,"All Drowned Sailors, @act01$"
item\equipmentarmor\mi_n_wraith.dbr,tagMIArmor077,false,false,false,"All Drowned Sailors, @act01$"
item\equipmentgreaves\mi_n_wraith.dbr,tagMIArmor031,false,false,false,"All Drowned Sailors, @act01$"
item\equipmentarmor\mi_n_yerren.dbr,tagMIArmor078,false,false,false,"Chieftain; Heroes: Mountain Strider, Swiftstream, Wolfbiter, @act03$"
item\equipmentgreaves\mi_n_yerren.dbr,tagMIArmor032,false,false,false,"Chieftain; Heroes: Mountain Strider, Swiftstream, Wolfbiter, @act03$"
item\equipmentarmband\mi_n_yerren.dbr,tagMIArmor021,false,false,false,"Chieftain; Heroes: Mountain Strider, Swiftstream, Wolfbiter, @act03$"
xpack\item\equipmentarmor\armband\mi_n_anouranmage.dbr,xtagMIArmor001,true,false,false,"Witch Doctor; Hero: Schlilsh, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_anouranmage.dbr,xtagMIArmor010,true,false,false,"Witch Doctor; Hero: Schlilsh, @act04$"
xpack\item\equipmentarmor\torso\mi_n_anouranmage.dbr,xtagMIArmor035,true,false,false,"Witch Doctor; Heroes: Schlilsh, Wood-Ear, @act04$"
xpack\item\equipmentweapons\bow\mi_n_anouran.dbr,xtagMIWeapon005,true,false,false,"All Hunters, @act04$"
xpack\item\equipmentarmor\armband\mi_n_anouranmelee.dbr,xtagMIArmor002,true,false,false,"All Anourans; Hero: Longbellow, @act04$"
xpack\item\equipmentarmor\torso\mi_n_anouranmelee.dbr,xtagMIArmor036,true,false,false,"All Anourans; Heroes: Longbellow, Gleek, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_anouranmelee.dbr,xtagMIArmor011,true,false,false,"All Anourans; Hero: Longbellow, @act04$"
xpack\item\equipmentweapons\spear\mi_n_anouran.dbr,xtagMIWeapon009,true,false,false,"Pygmy, @act04$"
xpack\item\equipmentweapons\sword\mi_n_anouran.dbr,xtagMIWeapon013,true,false,false,"Tribesman, Bullfrog; Heroes: Gleek, Longbellow, @act04$"
xpack\item\equipmentweapons\club\mi_n_anteok.dbr,xtagMIWeapon008,true,false,false,"Archon; Heroes: Myrto, Elatos, @act04$"
xpack\item\equipmentarmor\armband\mi_n_empusamage.dbr,xtagMIArmor003,true,false,false,"All Empusa, @act04$"
xpack\item\equipmentweapons\staff\mi_n_empousa.dbr,xtagMIWeapon011,true,false,false,"All Empusa, @act04$"
xpack\item\equipmentarmor\torso\mi_n_empusamage.dbr,xtagMIArmor037,true,false,false,"All Empusa, @act04$"
xpack\item\equipmentarmor\helm\mi_n_empusamage.dbr,xtagMIArmor022,true,false,false,"All Empusa, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_empusamage.dbr,xtagMIArmor012,true,false,false,"All Empusa, @act04$"
xpack\item\equipmentarmor\helm\mi_n_formicidmage02.dbr,xtagMIArmor024,true,false,false,"All Priestesses; Hero: Queen K'kiitr, Styx, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_formicidmage02.dbr,xtagMIArmor014,true,false,false,"All Priestesses; Hero: Queen K'kiitr, Styx, @act04$"
xpack\item\equipmentarmor\torso\mi_n_formicidmage02.dbr,xtagMIArmor039,true,false,false,"All Priestesses; Hero: Queen K'kiitr, Styx, @act04$"
xpack\item\equipmentarmor\torso\mi_n_formicidmelee02.dbr,xtagMIArmor041,true,false,false,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_formicidmelee02.dbr,xtagMIArmor016,true,false,false,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$"
xpack\item\equipmentarmor\helm\mi_n_formicidmelee02.dbr,xtagMIArmor026,true,false,false,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$"
xpack\item\equipmentweapons\axe\mi_n_formicid.dbr,xtagMIWeapon003,true,false,false,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$"
xpack\item\equipmentarmor\helm\mi_n_formicidmage01.dbr,xtagMIArmor023,true,false,false,"All Priestesses; Hero: Queen Ch'Kra, Ampelian Cave, Medea's Grove, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_formicidmage01.dbr,xtagMIArmor013,true,false,false,"All Priestesses; Hero: Queen Ch'Kra, Ampelian Cave, Medea's Grove, @act04$"
xpack\item\equipmentarmor\torso\mi_n_formicidmage01.dbr,xtagMIArmor038,true,false,false,"All Priestesses; Hero: Queen Ch'Kra, Ampelian Cave, Medea's Grove, @act04$"
xpack\item\equipmentarmor\torso\mi_n_formicidmelee01.dbr,xtagMIArmor040,true,false,false,"Drone, Soldier, Corporal, Captain; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_formicidmelee01.dbr,xtagMIArmor015,true,false,false,"Drone, Soldier, Corporal, Captain; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$"
xpack\item\equipmentarmor\helm\mi_n_formicidmelee01.dbr,xtagMIArmor025,true,false,false,"Drone, Soldier, Corporal, Captain; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$"
xpack\item\equipmentweapons\shield\mi_n_formicid.dbr,xtagMIWeapon001,true,false,false,"Drone, Soldier, Corporal; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$"
xpack\item\equipmentarmor\helm\mi_n_gigantesmelee02.dbr,xtagMIArmor028,true,false,false,"Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$"
xpack\item\equipmentarmor\torso\mi_n_gigantesmelee02.dbr,xtagUArmor135,true,false,false,"Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$"
xpack\item\equipmentarmor\armband\mi_n_gigantesmelee02.dbr,xtagUArmor136,true,false,false,"Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_gigantesmelee02.dbr,xtagUArmor137,true,false,false,"Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$"
xpack\item\equipmentarmor\torso\mi_n_gigantesmelee.dbr,xtagMIArmor042,true,false,false,"Armorite, Vanguard, @act04$"
xpack\item\equipmentarmor\armband\mi_n_gigantesmelee.dbr,xtagMIArmor004,true,false,false,"Armorite, Vanguard, @act04$"
xpack\item\equipmentarmor\helm\mi_n_gigantesmelee01.dbr,xtagMIArmor027,true,false,false,"Armorite, Vanguard, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_gigantesmelee.dbr,xtagMIArmor017,true,false,false,"Armorite, Vanguard, @act04$"
xpack\item\equipmentweapons\club\mi_n_gigantes.dbr,xtagMIWeapon006,true,false,false,"Armorite, Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$"
xpack\item\equipmentweapons\shield\mi_n_gigantes.dbr,xtagMIWeapon002,true,false,false,"Armorite, Dactyl; Hero: Ephialtes, @act04$"
xpack\item\equipmentarmor\torso\mi_n_keresmelee.dbr,xtagMIArmor044,true,false,false,"Flayer; Hero: Anaplekte, @act04$"
xpack\item\equipmentarmor\helm\mi_n_keresmelee.dbr,xtagMIArmor030,true,false,false,"Flayer; Hero: Anaplekte, @act04$"
xpack\item\equipmentarmor\armband\mi_n_keresmage.dbr,xtagMIArmor005,true,false,false,"Witch, Witch Queen; Hero: Akhlys, @act04$"
xpack\item\equipmentarmor\torso\mi_n_keresmage.dbr,xtagMIArmor043,true,false,false,"Witch, Witch Queen; Hero: Akhlys, @act04$"
xpack\item\equipmentweapons\staff\mi_n_keres.dbr,xtagMIWeapon012,true,false,false,"Witch, Witch Queen, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_keresmage.dbr,xtagMIArmor018,true,false,false,"Witch, Witch Queen; Hero: Akhlys, @act04$"
xpack\item\equipmentarmor\helm\mi_n_keresmage.dbr,xtagMIArmor029,true,false,false,"Witch, Witch Queen; Hero: Akhlys, @act04$"
xpack\item\equipmentarmor\armband\mi_n_lamiamelee.dbr,xtagMIArmor006,true,false,false,"Lancer, Ravager, Dark Ranger, Clan Mistress; Heroes: Damaris, Hilaera, @act04$"
xpack\item\equipmentarmor\torso\mi_n_lamiamelee.dbr,xtagMIArmor045,true,false,false,"Lancer, Ravager, Dark Ranger, Clan Mistress; Heroes: Damaris, Hilaera, @act04$"
xpack\item\equipmentarmor\helm\mi_n_lamiamelee.dbr,xtagMIArmor031,true,false,false,"Lancer, Ravager, Dark Ranger, Clan Mistress; Heroes: Damaris, Hilaera, @act04$"
xpack\item\equipmentarmor\helm\mi_n_machaemelee.dbr,xtagMIArmor032,true,false,false,"All Machae, @act04$"
xpack\item\equipmentarmor\torso\mi_n_machaemelee.dbr,xtagMIArmor046,true,false,false,"All Machae, @act04$"
xpack\item\equipmentarmor\armband\mi_n_machaemelee.dbr,xtagMIArmor007,true,false,false,"All Machae, @act04$"
xpack\item\equipmentweapons\axe\mi_n_machae.dbr,xtagMIWeapon004,true,false,false,"Scout, Guard, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_machaemelee.dbr,xtagMIArmor019,true,false,false,"All Machae, @act04$"
xpack2\item\equipmentweapons\1hranged\mi_n_machae.dbr,x2tagMIWeapon028,true,true,false,
xpack\item\equipmentarmor\armband\mi_n_melinoemage.dbr,xtagMIArmor008,true,false,false,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$"
xpack\item\equipmentarmor\torso\mi_n_melinoemage.dbr,xtagMIArmor047,true,false,false,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_melinoemage.dbr,xtagMIArmor020,true,false,false,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$"
xpack\item\equipmentarmor\helm\mi_n_melinoemage.dbr,xtagMIArmor033,true,false,false,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$"
xpack\item\equipmentweapons\sword\mi_n_melinoe.dbr,xtagMIWeapon014,true,false,false,"Blade Maiden, Blade Dancer; Hero: Anysia, @act04$"
xpack\item\equipmentweapons\spear\mi_n_melinoe.dbr,xtagMIWeapon010,true,false,false,"Spear Runner, Elite Spear Runner; Hero: Hekaline, @act04$"
xpack\item\equipmentarmor\helm\mi_n_troglodytemelee.dbr,xtagMIArmor034,true,false,false,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$"
xpack\item\equipmentweapons\club\mi_n_troglodyte.dbr,xtagMIWeapon007,true,false,false,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$"
xpack\item\equipmentarmor\greaves\mi_n_troglodytemelee.dbr,xtagMIArmor021,true,false,false,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$"
xpack\item\equipmentarmor\armband\mi_n_troglodytemelee.dbr,xtagMIArmor009,true,false,false,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$"
xpack2\item\equipmentarmor\helm\mi_n_alfr.dbr,x2tagMIArmor018,true,true,false,
xpack2\item\equipmentarmor\armband\mi_n_alfr.dbr,x2tagMIArmor019,true,true,false,
xpack2\item\equipmentarmor\torso\mi_n_alfr.dbr,x2tagMIArmor017,true,true,false,
xpack2\item\equipmentarmor\greaves\mi_n_alfr.dbr,x2tagMIArmor020,true,true,false,
xpack2\item\equipmentweapons\bow\mi_n_alfr.dbr,x2tagMIWeapon022,true,true,false,
xpack2\item\equipmentarmor\helm\mi_n_banditgreek.dbr,x2tagMIArmor033,true,true,false,
xpack2\item\equipmentarmor\torso\mi_n_banditgreek.dbr,x2tagMIArmor032,true,true,false,
xpack2\item\equipmentarmor\helm\mi_n_centaur.dbr,tagMIArmor035,true,true,false,
xpack2\item\equipmentarmor\torso\mi_n_centaur.dbr,tagMIArmor053,true,true,false,
xpack2\item\equipmentarmor\helm\mi_n_draugr.dbr,x2tagMIArmor044,true,true,false,
xpack2\item\equipmentarmor\armband\mi_n_draugr.dbr,x2tagMIArmor045,true,true,false,
xpack2\item\equipmentarmor\torso\mi_n_draugr.dbr,x2tagMIArmor043,true,true,false,
xpack2\item\equipmentarmor\greaves\mi_n_draugr.dbr,x2tagMIArmor046,true,true,false,
xpack2\item\equipmentweapons\bow\mi_n_draugr.dbr,x2tagMIWeapon021,true,true,false,
xpack2\item\equipmentweapons\shield\mi_n_draugr.dbr,x2tagMIWeapon020,true,true,false,
xpack2\item\equipmentarmor\helm\mi_n_dvergrmelee.dbr,x2tagMIArmor014,true,true,false,
xpack2\item\equipmentarmor\armband\mi_n_dvergrmelee.dbr,x2tagMIArmor015,true,true,false,
xpack2\item\equipmentarmor\torso\mi_n_dvergrmelee.dbr,x2tagMIArmor013,true,true,false,
xpack2\item\equipmentarmor\torso\mi_n_dvergrmage.dbr,x2tagMIArmor013b,true,true,false,
xpack2\item\equipmentarmor\greaves\mi_n_dvergrmelee.dbr,x2tagMIArmor016,true,true,false,
xpack2\item\equipmentweapons\1hranged\mi_n_dvergr.dbr,x2tagMIWeapon029,true,true,false,
xpack2\item\equipmentweapons\axe\mi_n_dvergr.dbr,x2tagMIWeapon016,true,true,false,
xpack2\item\equipmentweapons\club\mi_n_dvergr.dbr,x2tagMIWeapon014,true,true,false,
xpack2\item\equipmentweapons\staff\mi_n_dvergr.dbr,x2tagMIWeapon017,true,true,false,
xpack2\item\equipmentweapons\sword\mi_n_dvergr.dbr,x2tagMIWeapon015,true,true,false,
xpack2\item\equipmentarmor\helm\mi_n_einherjar.dbr,x2tagMIArmor052,true,true,false,
