,record,category,class,pack,name,altName,id
44,records\xpack\item\equipmentarmor\amulet\usm_l_001.dbr,Amulet,ArmorJewelry_Amulet,xpack,usm_l_001,Polydegmon,Amulet_Polydegmon
45,records\item\equipmentamulet\u_e_prokopios.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_prokopios,Prokopios,Amulet_Prokopios
46,records\item\equipmentamulet\u_e_ptolemy'sinsight.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_ptolemy'sinsight,Ptolemy's Insight,Amulet_Ptolemys_Insight
47,records\item\equipmentamulet\u_e_pythagorianmedallion.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_pythagorianmedallion,Pythagorian Medallion,Amulet_Pythagorian_Medallion
48,records\xpack2\item\equipmentarmor\amulet\u_l_002.dbr,Amulet,ArmorJewelry_Amulet,xpack2,u_l_002,Ran's Favor,Amulet_Rans_Favor
49,records\xpack4\item\equipmentarmor\amulet\u_l_redseadragon.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_redseadragon,,Amulet_Redseadragon
50,records\xpack\item\equipmentarmor\amulet\u_e_001.dbr,Amulet,ArmorJewelry_Amulet,xpack,u_e_001,Rune of Najo-Ja,Amulet_Rune_Of_Najo_ja
51,records\xpack2\item\equipmentarmor\amulet\u_e_002.dbr,Amulet,ArmorJewelry_Amulet,xpack2,u_e_002,Ryggknappsspänne,Amulet_Ryggknappssp_nne
52,records\xpack4\item\equipmentarmor\amulet\u_l_senworsretsthrone.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_senworsretsthrone,,Amulet_Senworsretsthrone
53,records\item\equipmentamulet\u_e_serenity.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_serenity,Serenity,Amulet_Serenity
54,records\item\equipmentamulet\u_n_shardoftheelements.dbr,Amulet,ArmorJewelry_Amulet,Original,u_n_shardoftheelements,Shard of the Elements,Amulet_Shard_Of_The_Elements
55,records\item\equipmentamulet\u_l_shavo'srelic.dbr,Amulet,ArmorJewelry_Amulet,Original,u_l_shavo'srelic,Shavo's Relic,Amulet_Shavos_Relic
56,records\item\equipmentamulet\u_e_shiftingbeads.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_shiftingbeads,Shifting Beads,Amulet_Shifting_Beads
57,records\item\equipmentamulet\u_e_songofthesiren.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_songofthesiren,Song of the Siren,Amulet_Song_Of_The_Siren
58,records\xpack4\item\equipmentarmor\amulet\u_l_summonerstrinket.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_summonerstrinket,,Amulet_Summonerstrinket
59,records\xpack2\item\equipmentarmor\amulet\u_n_002.dbr,Amulet,ArmorJewelry_Amulet,xpack2,u_n_002,Sunwheel Brooch,Amulet_Sunwheel_Brooch
60,records\xpack\item\equipmentarmor\amulet\u_e_002.dbr,Amulet,ArmorJewelry_Amulet,xpack,u_e_002,The Ixion Stone,Amulet_The_Ixion_Stone
61,records\item\equipmentamulet\u_e_tibetannecklace.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_tibetannecklace,Tibetan Necklace,Amulet_Tibetan_Necklace
62,records\xpack2\item\equipmentarmor\amulet\us_l_hornedgod.dbr,Amulet,ArmorJewelry_Amulet,xpack2,us_l_hornedgod,Torc of Cernunnos,Amulet_Torc_Of_Cernunnos
63,records\xpack2\item\equipmentarmor\amulet\u_n_003.dbr,Amulet,ArmorJewelry_Amulet,xpack2,u_n_003,Torc of Lochar Moss,Amulet_Torc_Of_Lochar_Moss
64,records\xpack2\item\equipmentarmor\amulet\u_l_001.dbr,Amulet,ArmorJewelry_Amulet,xpack2,u_l_001,Torc of the Ancestors,Amulet_Torc_Of_The_Ancestors
65,records\xpack\item\equipmentarmor\amulet\u_n_003.dbr,Amulet,ArmorJewelry_Amulet,xpack,u_n_003,Triton's Conch,Amulet_Tritons_Conch
66,records\item\equipmentamulet\u_e_tundritecharm.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_tundritecharm,Tundrite Charm,Amulet_Tundrite_Charm
67,records\item\equipmentamulet\u_e_tyrvidar'smight.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_tyrvidar'smight,Tyrvidar's Might,Amulet_Tyrvidars_Might
68,records\xpack3\items\equipmentarmor\amulet\u_e_01.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_e_01,,Amulet_Ue01
69,records\xpack3\items\equipmentarmor\amulet\u_e_02.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_e_02,,Amulet_Ue02
70,records\xpack3\items\equipmentarmor\amulet\u_e_03.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_e_03,,Amulet_Ue03
71,records\xpack3\items\equipmentarmor\amulet\u_l_01.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_l_01,,Amulet_Ul01
72,records\xpack3\items\equipmentarmor\amulet\u_l_02.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_l_02,,Amulet_Ul02
73,records\xpack3\items\equipmentarmor\amulet\u_l_03.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_l_03,,Amulet_Ul03
74,records\xpack3\items\equipmentarmor\amulet\u_l_04.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_l_04,,Amulet_Ul04
75,records\xpack3\items\equipmentarmor\amulet\u_n_01.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_n_01,,Amulet_Un01
76,records\xpack3\items\equipmentarmor\amulet\u_n_02.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_n_02,,Amulet_Un02
77,records\xpack3\items\equipmentarmor\amulet\u_n_03.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_n_03,,Amulet_Un03
78,records\item\equipmentamulet\u_n_venomheart.dbr,Amulet,ArmorJewelry_Amulet,Original,u_n_venomheart,Venom Heart,Amulet_Venom_Heart
79,records\item\equipmentamulet\u_n_wellspring.dbr,Amulet,ArmorJewelry_Amulet,Original,u_n_wellspring,Wellspring,Amulet_Wellspring
80,records\item\equipmentarmband\us_l_abyssalarmor.dbr,Armbands,ArmorProtective_Forearm,Original,us_l_abyssalarmor,Abyssal Bracers,Armbands_Abyssal_Bracers
81,records\item\equipmentarmband\usm_e_adept'sregalia.dbr,Armbands,ArmorProtective_Forearm,Original,usm_e_adept'sregalia,Adept's Clasp,Armbands_Adepts_Clasp
82,records\xpack3\items\equipmentarmor\armband\um_l_set07.dbr,Armbands,ArmorProtective_Forearm,xpack3,um_l_set07,Agenor's Bangles,Armbands_Agenors_Bangles
83,records\xpack\item\equipmentarmor\armband\mi_e_gigantesmelee02.dbr,Armbands,ArmorProtective_Forearm,xpack,mi_e_gigantesmelee02,Alcyoneus’ Gauntlets,Armbands_Alcyoneus_Gauntlets
84,records\xpack\item\equipmentarmor\armband\mi_l_gigantesmelee02.dbr,Armbands,ArmorProtective_Forearm,xpack,mi_l_gigantesmelee02,Alcyoneus’ Gauntlets,Armbands_Alcyoneus_Gauntlets_1
85,records\item\equipmentarmband\us_l_alexander'spanoply.dbr,Armbands,ArmorProtective_Forearm,Original,us_l_alexander'spanoply,Alexander's Bracer,Armbands_Alexanders_Bracer
86,records\xpack4\item\equipmentarmor\armband\u_l_amenhotepsbracers.dbr,Armbands,ArmorProtective_Forearm,xpack4,u_l_amenhotepsbracers,,Armbands_Amenhotepsbracers
87,records\xpack\item\equipmentarmor\armband\mi_n_anouranmage.dbr,Armbands,ArmorProtective_Forearm,xpack,mi_n_anouranmage,,Armbands_Anouranmage
88,records\xpack\item\equipmentarmor\armband\mi_n_anouranmelee.dbr,Armbands,ArmorProtective_Forearm,xpack,mi_n_anouranmelee,,Armbands_Anouranmelee
89,records\xpack4\item\equipmentarmor\armband\u_l_apepsbracers.dbr,Armbands,ArmorProtective_Forearm,xpack4,u_l_apepsbracers,,Armbands_Apepsbracers
90,records\item\equipmentarmband\us_e_armoroftheimmortalguard.dbr,Armbands,ArmorProtective_Forearm,Original,us_e_armoroftheimmortalguard,Apple Bearer's Bracer,Armbands_Apple_Bearers_Bracer
91,records\item\equipmentarmband\mi_n_arachnos.dbr,Armbands,ArmorProtective_Forearm,Original,mi_n_arachnos,,Armbands_Arachnos
92,records\item\equipmentarmband\um_e_arcanebindings.dbr,Armbands,ArmorProtective_Forearm,Original,um_e_arcanebindings,Arcane Bindings,Armbands_Arcane_Bindings
93,records\item\equipmentarmband\usm_l_archmage'sregalia.dbr,Armbands,ArmorProtective_Forearm,Original,usm_l_archmage'sregalia,Archmage's Clasp,Armbands_Archmages_Clasp
94,records\xpack4\item\equipmentarmor\armband\u_l_armbandsofthedead.dbr,Armbands,ArmorProtective_Forearm,xpack4,u_l_armbandsofthedead,,Armbands_Armbandsofthedead
95,records\xpack4\item\equipmentarmor\armband\u_l_armbandsofwhitejade.dbr,Armbands,ArmorProtective_Forearm,xpack4,u_l_armbandsofwhitejade,,Armbands_Armbandsofwhitejade
96,records\xpack2\item\equipmentarmor\armband\mi_n_einherjar.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_n_einherjar,Armguards of Valhöll,Armbands_Armguards_Of_Valh_ll
97,records\xpack2\item\equipmentarmor\armband\mi_e_einherjar.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_e_einherjar,Armguards of Valhöll,Armbands_Armguards_Of_Valh_ll_1
98,records\xpack2\item\equipmentarmor\armband\mi_l_einherjar.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_l_einherjar,Armguards of Valhöll,Armbands_Armguards_Of_Valh_ll_2
99,records\xpack\item\equipmentarmor\armband\usm_n_001.dbr,Armbands,ArmorProtective_Forearm,xpack,usm_n_001,Armlets of Erebus,Armbands_Armlets_Of_Erebus
100,records\xpack2\item\equipmentarmor\armband\usm_l_freyja.dbr,Armbands,ArmorProtective_Forearm,xpack2,usm_l_freyja,Armlets of Freyja,Armbands_Armlets_Of_Freyja
101,records\item\equipmentarmband\us_l_assassin'scover.dbr,Armbands,ArmorProtective_Forearm,Original,us_l_assassin'scover,Assassin's Bracers,Armbands_Assassins_Bracers
102,records\xpack3\items\equipmentarmor\armband\um_n_02.dbr,Armbands,ArmorProtective_Forearm,xpack3,um_n_02,Astarte's Gentle Shackles,Armbands_Astartes_Gentle_Shackles
103,records\xpack3\items\equipmentarmor\armband\u_n_02.dbr,Armbands,ArmorProtective_Forearm,xpack3,u_n_02,Azmelquart's Sparring Wraps,Armbands_Azmelquarts_Sparring_Wraps
104,records\xpack3\items\equipmentarmor\armband\um_n_set09.dbr,Armbands,ArmorProtective_Forearm,xpack3,um_n_set09,Ba'als Hand,Armbands_Baals_Hand
105,records\item\equipmentarmband\mi_n_bandari.dbr,Armbands,ArmorProtective_Forearm,Original,mi_n_bandari,,Armbands_Bandari
106,records\item\equipmentarmband\mi_e_bandari.dbr,Armbands,ArmorProtective_Forearm,Original,mi_e_bandari,Bandari's Bracers,Armbands_Bandaris_Bracers
107,records\item\equipmentarmband\mi_l_bandari.dbr,Armbands,ArmorProtective_Forearm,Original,mi_l_bandari,Bandari's Bracers,Armbands_Bandaris_Bracers_1
108,records\xpack3\items\equipmentarmor\armband\u_e_set03.dbr,Armbands,ArmorProtective_Forearm,xpack3,u_e_set03,Bandit King's Grip,Armbands_Bandit_Kings_Grip
109,records\xpack3\items\equipmentarmor\armband\um_n_01.dbr,Armbands,ArmorProtective_Forearm,xpack3,um_n_01,Bathyc Gloves,Armbands_Bathyc_Gloves
110,records\xpack\item\equipmentarmor\armband\mi_e_anouranmelee.dbr,Armbands,ArmorProtective_Forearm,xpack,mi_e_anouranmelee,Batrachos Bracers,Armbands_Batrachos_Bracers
111,records\xpack\item\equipmentarmor\armband\mi_l_anouranmelee.dbr,Armbands,ArmorProtective_Forearm,xpack,mi_l_anouranmelee,Batrachos Bracers,Armbands_Batrachos_Bracers_1
112,records\item\equipmentarmband\usm_e_vestmentsofthebattlemage.dbr,Armbands,ArmorProtective_Forearm,Original,usm_e_vestmentsofthebattlemage,Battlemage Bracers,Armbands_Battlemage_Bracers
113,records\xpack2\item\equipmentarmor\armband\mi_n_yerren.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_n_yerren,Bear Rider's Bracers,Armbands_Bear_Riders_Bracers
114,records\xpack2\item\equipmentarmor\armband\mi_e_yerren.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_e_yerren,Bear Rider's Bracers,Armbands_Bear_Riders_Bracers_1
115,records\xpack2\item\equipmentarmor\armband\mi_l_yerren.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_l_yerren,Bear Rider's Bracers,Armbands_Bear_Riders_Bracers_2
116,records\item\equipmentarmband\um_l_blackpearlbracelet.dbr,Armbands,ArmorProtective_Forearm,Original,um_l_blackpearlbracelet,Black Pearl Bracelet,Armbands_Black_Pearl_Bracelet
117,records\xpack\item\equipmentarmor\armband\z_pirate01.dbr,Armbands,ArmorProtective_Forearm,xpack,z_pirate01,Blackbeard's Hook,Armbands_Blackbeards_Hook
118,records\xpack2\item\equipmentarmor\armband\mi_n_eldjotun.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_n_eldjotun,Blacksteel Bracers,Armbands_Blacksteel_Bracers
119,records\xpack2\item\equipmentarmor\armband\mi_e_eldjotun.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_e_eldjotun,Blacksteel Bracers,Armbands_Blacksteel_Bracers_1
120,records\xpack2\item\equipmentarmor\armband\mi_l_eldjotun.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_l_eldjotun,Blacksteel Bracers,Armbands_Blacksteel_Bracers_2
121,records\xpack2\item\equipmentarmor\armband\u_n_04.dbr,Armbands,ArmorProtective_Forearm,xpack2,u_n_04,Blackwyrm Guards,Armbands_Blackwyrm_Guards
122,records\xpack\item\equipmentarmor\armband\mi_n_melinoemage.dbr,Armbands,ArmorProtective_Forearm,xpack,mi_n_melinoemage,Bloodborn Armbands,Armbands_Bloodborn_Armbands
123,records\xpack\item\equipmentarmor\armband\mi_e_melinoemage.dbr,Armbands,ArmorProtective_Forearm,xpack,mi_e_melinoemage,Bloodborn Armbands,Armbands_Bloodborn_Armbands_1
124,records\xpack\item\equipmentarmor\armband\mi_l_melinoemage.dbr,Armbands,ArmorProtective_Forearm,xpack,mi_l_melinoemage,Bloodborn Armbands,Armbands_Bloodborn_Armbands_2
125,records\item\equipmentarmband\mi_n_boarman.dbr,Armbands,ArmorProtective_Forearm,Original,mi_n_boarman,,Armbands_Boarman
126,records\item\equipmentarmband\um_n_bonebracelet.dbr,Armbands,ArmorProtective_Forearm,Original,um_n_bonebracelet,Bone Bracelet,Armbands_Bone_Bracelet
127,records\item\equipmentarmband\us_e_bonearmor.dbr,Armbands,ArmorProtective_Forearm,Original,us_e_bonearmor,Bone Bracers,Armbands_Bone_Bracers
128,records\xpack2\item\equipmentarmor\armband\mi_n_troll.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_n_troll,Bonebreaker Bracelets,Armbands_Bonebreaker_Bracelets
129,records\xpack2\item\equipmentarmor\armband\mi_e_troll.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_e_troll,Bonebreaker Bracelets,Armbands_Bonebreaker_Bracelets_1
130,records\xpack2\item\equipmentarmor\armband\mi_l_troll.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_l_troll,Bonebreaker Bracelets,Armbands_Bonebreaker_Bracelets_2
131,records\xpack2\item\equipmentarmor\armband\u_n_05.dbr,Armbands,ArmorProtective_Forearm,xpack2,u_n_05,Bormo's Arm Ring,Armbands_Bormos_Arm_Ring
132,records\xpack\item\equipmentarmor\armband\z_us01.dbr,Armbands,ArmorProtective_Forearm,xpack,z_us01,Brace of the Great Merchant,Armbands_Brace_Of_The_Great_Merchant
133,records\item\equipmentarmband\um_e_braceletofillumination.dbr,Armbands,ArmorProtective_Forearm,Original,um_e_braceletofillumination,Bracelet of Illumination,Armbands_Bracelet_Of_Illumination
134,records\item\equipmentarmband\um_e_braceletofpain.dbr,Armbands,ArmorProtective_Forearm,Original,um_e_braceletofpain,Bracelet of Pain,Armbands_Bracelet_Of_Pain
135,records\xpack\item\equipmentarmor\armband\um_n_001.dbr,Armbands,ArmorProtective_Forearm,xpack,um_n_001,Bracelet of Prophecy,Armbands_Bracelet_Of_Prophecy
136,records\item\equipmentarmband\um_l_braceletofaman'da.dbr,Armbands,ArmorProtective_Forearm,Original,um_l_braceletofaman'da,Bracelets of Aman'Da,Armbands_Bracelets_Of_Amanda
137,records\item\equipmentarmband\usm_e_raimentofthestorm.dbr,Armbands,ArmorProtective_Forearm,Original,usm_e_raimentofthestorm,Bracelets of Storms,Armbands_Bracelets_Of_Storms
138,records\xpack2\item\equipmentarmor\armband\mi_n_fjordmage.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_n_fjordmage,Bracelets of the Deep,Armbands_Bracelets_Of_The_Deep
139,records\xpack2\item\equipmentarmor\armband\mi_e_fjordmage.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_e_fjordmage,Bracelets of the Deep,Armbands_Bracelets_Of_The_Deep_1
140,records\xpack2\item\equipmentarmor\armband\mi_l_fjordmage.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_l_fjordmage,Bracelets of the Deep,Armbands_Bracelets_Of_The_Deep_2
141,records\xpack2\item\equipmentarmor\armband\mi_n_alfr.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_n_alfr,Bracers of Alfheim,Armbands_Bracers_Of_Alfheim
142,records\xpack2\item\equipmentarmor\armband\mi_e_alfr.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_e_alfr,Bracers of Alfheim,Armbands_Bracers_Of_Alfheim_1
143,records\xpack2\item\equipmentarmor\armband\mi_l_alfr.dbr,Armbands,ArmorProtective_Forearm,xpack2,mi_l_alfr,Bracers of Alfheim,Armbands_Bracers_Of_Alfheim_2
144,records\item\equipmentarmband\u_n_bracersofatlas.dbr,Armbands,ArmorProtective_Forearm,Original,u_n_bracersofatlas,Bracers of Atlas,Armbands_Bracers_Of_Atlas
145,records\xpack\item\equipmentarmor\armband\u_l_001.dbr,Armbands,ArmorProtective_Forearm,xpack,u_l_001,Bracers of the Argonauts,Armbands_Bracers_Of_The_Argonauts
146,records\item\equipmentarmband\us_e_firewalker'ssuit.dbr,Armbands,ArmorProtective_Forearm,Original,us_e_firewalker'ssuit,Bracers of the Firewalker,Armbands_Bracers_Of_The_Firewalker
147,records\item\equipmentarmband\mi_e_minotaur.dbr,Armbands,ArmorProtective_Forearm,Original,mi_e_minotaur,Bracers of the Minotaur,Armbands_Bracers_Of_The_Minotaur
148,records\item\equipmentarmband\mi_l_minotaur.dbr,Armbands,ArmorProtective_Forearm,Original,mi_l_minotaur,Bracers of the Minotaur,Armbands_Bracers_Of_The_Minotaur_1
149,records\item\equipmentarmband\us_l_nemeanlionhide.dbr,Armbands,ArmorProtective_Forearm,Original,us_l_nemeanlionhide,Bracers of the Nemean Lion,Armbands_Bracers_Of_The_Nemean_Lion
150,records\item\equipmentarmband\us_e_thesphinx.dbr,Armbands,ArmorProtective_Forearm,Original,us_e_thesphinx,Bracers of the Sphinx,Armbands_Bracers_Of_The_Sphinx
151,records\item\equipmentarmband\us_e_tempest.dbr,Armbands,ArmorProtective_Forearm,Original,us_e_tempest,Bracers of the Tempest,Armbands_Bracers_Of_The_Tempest
152,records\item\equipmentarmband\us_e_armoroftroy.dbr,Armbands,ArmorProtective_Forearm,Original,us_e_armoroftroy,Bracers of Troy,Armbands_Bracers_Of_Troy
153,records\xpack4\item\equipmentarmor\armband\u_l_bracersofkunlun.dbr,Armbands,ArmorProtective_Forearm,xpack4,u_l_bracersofkunlun,,Armbands_Bracersofkunlun
154,records\xpack4\item\equipmentarmor\armband\u_l_bracersoftheredsea.dbr,Armbands,ArmorProtective_Forearm,xpack4,u_l_bracersoftheredsea,,Armbands_Bracersoftheredsea
