Difficulty,Affix Type,Affix,"% Affix weight
(inside rand table)","% Affix drop chance
(all rand tables)","Table
DB Record","Randomizer
DB Record",dbr,pack,record
Epic,Prefix,Negating,4.5004500450045,0.21430714500021397,xpack/staffb_e04.dbr,defensive_resistelemental_02.dbr,defensive_resistelemental_02.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\defensive_resistelemental_02.dbr
Epic,Prefix,Druid's,1.71017101710171,0.0814367151000814,xpack/staffb_e04.dbr,character_skillmasteryf_02.dbr,character_skillmasteryf_02.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_skillmasteryf_02.dbr
Epic,Prefix,Glacial,0.5850585058505849,0.0278599288500279,xpack/staffb_e04.dbr,rare_coldslow_02.dbr,rare_coldslow_02.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\rare_coldslow_02.dbr
Epic,Prefix,Aristotle's,0.36003600360036003,0.0171445716000171,xpack/staffb_e04.dbr,rare_intmana_02.dbr,rare_intmana_02.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\rare_intmana_02.dbr
Epic,Prefix,Dreadful,1.57515751575158,0.075007500750075,xpack/staffb_e04.dbr,rare_dreadful_weapon_04.dbr,rare_dreadful_weapon_04.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\rare_dreadful_weapon_04.dbr
Epic,Prefix,Evoker's,1.71017101710171,0.0814367151000814,xpack/staffb_e04.dbr,character_skillmasteryh_02.dbr,character_skillmasteryh_02.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_skillmasteryh_02.dbr
Epic,Prefix,Stormcaller's,1.71017101710171,0.0814367151000814,xpack/staffb_e04.dbr,character_skillmasteryh_01.dbr,character_skillmasteryh_01.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_skillmasteryh_01.dbr
Epic,Prefix,Arctic,0.5850585058505849,0.0278599288500279,xpack/staffb_e04.dbr,rare_coldslow_03.dbr,rare_coldslow_03.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\rare_coldslow_03.dbr
Epic,Prefix,Lithe,27.002700270027,1.28584287000129,xpack/staffb_e04.dbr,character_reducedequipreq_02.dbr,character_reducedequipreq_02.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_reducedequipreq_02.dbr
Epic,Prefix,Pyromancer's,1.71017101710171,0.0814367151000814,xpack/staffb_e04.dbr,character_skillmasterye_01.dbr,character_skillmasterye_01.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_skillmasterye_01.dbr
Epic,Prefix,Plato's,0.8100810081008101,0.0385752861000386,xpack/staffb_e04.dbr,rare_intmana_03.dbr,rare_intmana_03.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\rare_intmana_03.dbr
Epic,Prefix,Mentor's,6.75067506750675,0.32146071750032107,xpack/staffb_e04.dbr,character_attributeenergy_03.dbr,character_attributeenergy_03.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_attributeenergy_03.dbr
Epic,Prefix,Augur's,1.71017101710171,0.0814367151000814,xpack/staffb_e04.dbr,xpack/character_skillmasterydream_02.dbr,character_skillmasterydream_02.dbr,xpack,records\xpack\item\lootmagicalaffixes\Prefix\default\character_skillmasterydream_02.dbr
Epic,Prefix,Dreadful,1.08010801080108,0.0514337148000514,xpack/staffb_e04.dbr,rare_dreadful_weapon_05.dbr,rare_dreadful_weapon_05.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\rare_dreadful_weapon_05.dbr
Epic,Prefix,Archimage's,1.71017101710171,0.0814367151000814,xpack/staffb_e04.dbr,character_skillmasterye_02.dbr,character_skillmasterye_02.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_skillmasterye_02.dbr
Epic,Prefix,Wanderer's,1.71017101710171,0.0814367151000814,xpack/staffb_e04.dbr,character_skillmasteryf_01.dbr,character_skillmasteryf_01.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_skillmasteryf_01.dbr
Epic,Prefix,Theurgist's,1.71017101710171,0.0814367151000814,xpack/staffb_e04.dbr,character_skillmasteryg_02.dbr,character_skillmasteryg_02.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_skillmasteryg_02.dbr
Epic,Prefix,Runemaster's ,1.8001800180018002,0.0857228580000857,xpack/staffb_e04.dbr,xpack2/character_skillmasteryrunes_01.dbr,character_skillmasteryrunes_01.dbr,xpack2,records\xpack2\item\lootmagicalaffixes\Prefix\default\character_skillmasteryrunes_01.dbr
Epic,Suffix,of Clout,9.88319856244385,0.658879904162923,xpack/torsomelee_e04.dbr,character_attributestrength_04.dbr,character_attributestrength_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributestrength_04.dbr
Epic,Suffix,of Expertise,3.5938903863432206,0.239592692422881,xpack/torsomelee_e04.dbr,character_abilitydefensive_05.dbr,character_abilitydefensive_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_abilitydefensive_05.dbr
Epic,Suffix,of Erudition,0.898472596585804,0.0598981731057203,xpack/torsomelee_e04.dbr,character_attributeintelligence_05.dbr,character_attributeintelligence_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributeintelligence_05.dbr
Epic,Suffix,of Permanence,5.39083557951483,0.359389038634322,xpack/torsomelee_e04.dbr,character_attributelife_05.dbr,character_attributelife_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributelife_05.dbr
Epic,Suffix,of Respite,0.718778077268643,0.0479185384845762,xpack/torsomelee_e04.dbr,xpack/rare_chancetoresistall_03.dbr,rare_chancetoresistall_03.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\rare_chancetoresistall_03.dbr
Epic,Suffix,of Immortality,0.898472596585804,0.0598981731057203,xpack/torsomelee_e04.dbr,character_attributelife_06.dbr,character_attributelife_06.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributelife_06.dbr
Epic,Suffix,of Power,0.898472596585804,0.0598981731057203,xpack/torsomelee_e04.dbr,character_attributeenergy_05.dbr,character_attributeenergy_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributeenergy_05.dbr
Epic,Suffix,of Shelter,2.3360287511230897,0.15573525007487302,xpack/torsomelee_e04.dbr,defensive_%protection_02.dbr,defensive_%protection_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\defensive_%protection_02.dbr
Epic,Suffix,of Adroitness,9.88319856244385,0.658879904162923,xpack/torsomelee_e04.dbr,character_attributedexterity_04.dbr,character_attributedexterity_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributedexterity_04.dbr
Epic,Suffix,of Mastery,1.34770889487871,0.0898472596585804,xpack/torsomelee_e04.dbr,character_abilitydefensive_06.dbr,character_abilitydefensive_06.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_abilitydefensive_06.dbr
Epic,Suffix,of Vengeance,2.69541778975741,0.179694519317161,xpack/torsomelee_e04.dbr,retaliation_leechlife_03.dbr,retaliation_leechlife_03.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\retaliation_leechlife_03.dbr
Epic,Suffix,of Grace,0.898472596585804,0.0598981731057203,xpack/torsomelee_e04.dbr,character_attributedexterity_05.dbr,character_attributedexterity_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributedexterity_05.dbr
Epic,Suffix,of Barbs,3.5938903863432206,0.239592692422881,xpack/torsomelee_e04.dbr,retaliation_pierce_03.dbr,retaliation_pierce_03.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\retaliation_pierce_03.dbr
Epic,Suffix,of Fortitude,1.7969451931716103,0.11979634621144099,xpack/torsomelee_e04.dbr,xpack/defensive_resistsleep_03.dbr,defensive_resistsleep_03.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\defensive_resistsleep_03.dbr
Epic,Suffix,of Willpower,1.7969451931716103,0.11979634621144099,xpack/torsomelee_e04.dbr,xpack/defensive_resistsleep_02.dbr,defensive_resistsleep_02.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\defensive_resistsleep_02.dbr
Epic,Suffix,of the Mammoth,1.4375561545372901,0.0958370769691524,xpack/torsomelee_e04.dbr,rare_mammoth_01.dbr,rare_mammoth_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_mammoth_01.dbr
Epic,Suffix,of Asylum,0.628930817610063,0.0419287211740042,xpack/torsomelee_e04.dbr,rare_da%protect_02.dbr,rare_da%protect_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_da%protect_02.dbr
Epic,Suffix,of Retribution,2.69541778975741,0.179694519317161,xpack/torsomelee_e04.dbr,retaliation_leechlife_02.dbr,retaliation_leechlife_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\retaliation_leechlife_02.dbr
Epic,Suffix,of Regeneration,1.7969451931716103,0.11979634621144099,xpack/torsomelee_e04.dbr,character_regenlife_05.dbr,character_regenlife_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_regenlife_05.dbr
Epic,Suffix,of Protection,0.898472596585804,0.0598981731057203,xpack/torsomelee_e04.dbr,defensive_%protection_01.dbr,defensive_%protection_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\defensive_%protection_01.dbr
Epic,Suffix,of Renewal,5.39083557951483,0.359389038634322,xpack/torsomelee_e04.dbr,character_regenlife_04.dbr,character_regenlife_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_regenlife_04.dbr
Epic,Suffix,of Warding,1.34770889487871,0.0898472596585804,xpack/torsomelee_e04.dbr,defensive_%protection_03.dbr,defensive_%protection_03.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\defensive_%protection_03.dbr
Epic,Suffix,of Impetus,4.04312668463612,0.26954177897574105,xpack/torsomelee_e04.dbr,xpack/defensive_resistslow_03.dbr,defensive_resistslow_03.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\defensive_resistslow_03.dbr
Epic,Suffix,of Vitality,4.492362982929019,0.299490865528601,xpack/torsomelee_e04.dbr,character_attributelife_04.dbr,character_attributelife_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributelife_04.dbr
Epic,Suffix,of Momentum,4.04312668463612,0.26954177897574105,xpack/torsomelee_e04.dbr,xpack/defensive_resistslow_02.dbr,defensive_resistslow_02.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\defensive_resistslow_02.dbr
Epic,Suffix,of Refuge,0.26954177897574105,0.0179694519317161,xpack/torsomelee_e04.dbr,rare_da%protect_01.dbr,rare_da%protect_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_da%protect_01.dbr
Epic,Suffix,of the Glade,0.359389038634322,0.0239592692422881,xpack/torsomelee_e04.dbr,rare_glade_armor_01.dbr,rare_glade_armor_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_glade_armor_01.dbr
Epic,Suffix,of the Wilds,0.898472596585804,0.0598981731057203,xpack/torsomelee_e04.dbr,rare_pierceret%life_01.dbr,rare_pierceret%life_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_pierceret%life_01.dbr
Epic,Suffix,of Intellect,9.88319856244385,0.658879904162923,xpack/torsomelee_e04.dbr,character_attributeintelligence_04.dbr,character_attributeintelligence_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributeintelligence_04.dbr
Epic,Suffix,of Heroes,0.808625336927224,0.0539083557951482,xpack/torsomelee_e04.dbr,xpack/rare_healthmanatotaldmg_02.dbr,rare_healthmanatotaldmg_02.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\rare_healthmanatotaldmg_02.dbr
Epic,Suffix,of Thorns,3.5938903863432206,0.239592692422881,xpack/torsomelee_e04.dbr,retaliation_pierce_02.dbr,retaliation_pierce_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\retaliation_pierce_02.dbr
Epic,Suffix,of Mana,9.88319856244385,0.658879904162923,xpack/torsomelee_e04.dbr,character_attributeenergy_04.dbr,character_attributeenergy_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributeenergy_04.dbr
Epic,Suffix,of Might,0.898472596585804,0.0598981731057203,xpack/torsomelee_e04.dbr,character_attributestrength_05.dbr,character_attributestrength_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributestrength_05.dbr
Epic,Suffix,of Necromancy,3.10752019888129,0.207168013258753,xpack/staff_e04.dbr,offensive_+%damage to undead_01.dbr,offensive_+%damage to undead_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\offensive_+%damage to undead_01.dbr
Epic,Suffix,of the Siren,1.55376009944065,0.10358400662937599,xpack/staff_e04.dbr,rare_siren_01.dbr,rare_siren_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_siren_01.dbr
Epic,Suffix,of Permanence,6.215040397762589,0.414336026517506,xpack/staff_e04.dbr,character_attributelife_05.dbr,character_attributelife_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributelife_05.dbr
Epic,Suffix,of Demonology,6.215040397762589,0.414336026517506,xpack/staff_e04.dbr,offensive_+%damage to demons_01.dbr,offensive_+%damage to demons_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\offensive_+%damage to demons_01.dbr
Epic,Suffix,of Erudition,1.03584006629376,0.0690560044195843,xpack/staff_e04.dbr,character_attributeintelligence_05.dbr,character_attributeintelligence_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributeintelligence_05.dbr
Epic,Suffix,of Alacrity,2.07168013258753,0.13811200883916902,xpack/staff_e04.dbr,character_speedattack_04.dbr,character_speedattack_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_speedattack_04.dbr
Epic,Suffix,of Power,1.03584006629376,0.0690560044195843,xpack/staff_e04.dbr,character_attributeenergy_05.dbr,character_attributeenergy_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributeenergy_05.dbr
Epic,Suffix,of Endowment,0.517920033146882,0.0345280022097921,xpack/staff_e04.dbr,character_abilitydefensive_03.dbr,character_abilitydefensive_03.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_abilitydefensive_03.dbr
Epic,Suffix,of Nightmares,0.828672053035011,0.0552448035356674,xpack/staff_e04.dbr,xpack/rare_lifedmgreducedresist_03.dbr,rare_lifedmgreducedresist_03.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\rare_lifedmgreducedresist_03.dbr
Epic,Suffix,of Immortality,1.03584006629376,0.0690560044195843,xpack/staff_e04.dbr,character_attributelife_06.dbr,character_attributelife_06.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributelife_06.dbr
Epic,Suffix,of Adroitness,11.3942407292314,0.759616048615427,xpack/staff_e04.dbr,character_attributedexterity_04.dbr,character_attributedexterity_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributedexterity_04.dbr
Epic,Suffix,of Foresight,1.03584006629376,0.0690560044195843,xpack/staff_e04.dbr,rare_%int%energy_01.dbr,rare_%int%energy_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_%int%energy_01.dbr
Epic,Suffix,of Grace,1.03584006629376,0.0690560044195843,xpack/staff_e04.dbr,character_attributedexterity_05.dbr,character_attributedexterity_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributedexterity_05.dbr
Epic,Suffix,of Speed,4.14336026517506,0.276224017678337,xpack/staff_e04.dbr,character_speedattack_03.dbr,character_speedattack_03.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_speedattack_03.dbr
Epic,Suffix,of the Betrayer,1.03584006629376,0.0690560044195843,xpack/staff_e04.dbr,rare_betrayer_01.dbr,rare_betrayer_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_betrayer_01.dbr
Epic,Suffix,of Harrowing,0.828672053035011,0.0552448035356674,xpack/staff_e04.dbr,xpack/rare_%life+%stun_01.dbr,rare_%life+%stun_01.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\rare_%life+%stun_01.dbr
Epic,Suffix,of Quickness,4.14336026517506,0.276224017678337,xpack/staff_e04.dbr,character_speedattack_01.dbr,character_speedattack_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_speedattack_01.dbr
Epic,Suffix,of Augury,1.03584006629376,0.0690560044195843,xpack/staff_e04.dbr,rare_%int%energy_02.dbr,rare_%int%energy_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_%int%energy_02.dbr
Epic,Suffix,of Trickery,1.55376009944065,0.10358400662937599,xpack/staff_e04.dbr,rare_speedattack%dodge_01.dbr,rare_speedattack%dodge_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_speedattack%dodge_01.dbr
Epic,Suffix,of Devouring,3.10752019888129,0.207168013258753,xpack/staff_e04.dbr,offensive_damage%lifeleech_02.dbr,offensive_damage%lifeleech_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\offensive_damage%lifeleech_02.dbr
Epic,Suffix,of Feasting,3.10752019888129,0.207168013258753,xpack/staff_e04.dbr,offensive_damage%lifeleech_01.dbr,offensive_damage%lifeleech_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\offensive_damage%lifeleech_01.dbr
Epic,Suffix,of Proficiency,1.03584006629376,0.0690560044195843,xpack/staff_e04.dbr,character_abilitydefensive_02.dbr,character_abilitydefensive_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_abilitydefensive_02.dbr
Epic,Suffix,of Agony,0.828672053035011,0.0552448035356674,xpack/staff_e04.dbr,xpack/rare_-%speedbleeddmg%bleed_02.dbr,rare_-%speedbleeddmg%bleed_02.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\rare_-%speedbleeddmg%bleed_02.dbr
Epic,Suffix,of Prowess,0.517920033146882,0.0345280022097921,xpack/staff_e04.dbr,character_abilitydefensive_04.dbr,character_abilitydefensive_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_abilitydefensive_04.dbr
Epic,Suffix,of Divination,0.207168013258753,0.0138112008839169,xpack/staff_e04.dbr,rare_%int%energy_03.dbr,rare_%int%energy_03.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_%int%energy_03.dbr
Epic,Suffix,of Vitality,5.17920033146882,0.345280022097921,xpack/staff_e04.dbr,character_attributelife_04.dbr,character_attributelife_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributelife_04.dbr
Epic,Suffix,of Focus,0.932256059664388,0.0621504039776259,xpack/staff_e04.dbr,character_cooldownreduction_03.dbr,character_cooldownreduction_03.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_cooldownreduction_03.dbr
Epic,Suffix,of Rumination,0.5800704371245079,0.0386713624749672,xpack/staff_e04.dbr,character_cooldownreduction_02.dbr,character_cooldownreduction_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_cooldownreduction_02.dbr
Epic,Suffix,of Concentration,0.497203231821007,0.0331468821214005,xpack/staff_e04.dbr,character_cooldownreduction_01.dbr,character_cooldownreduction_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_cooldownreduction_01.dbr
Epic,Suffix,of Intellect,11.3942407292314,0.759616048615427,xpack/staff_e04.dbr,character_attributeintelligence_04.dbr,character_attributeintelligence_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributeintelligence_04.dbr
Epic,Suffix,of Mana,11.3942407292314,0.759616048615427,xpack/staff_e04.dbr,character_attributeenergy_04.dbr,character_attributeenergy_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributeenergy_04.dbr
Epic,Suffix,of Dazing,2.07168013258753,0.13811200883916902,xpack/staff_e04.dbr,offensive_stun_01.dbr,offensive_stun_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\offensive_stun_01.dbr
Epic,Suffix,of Haste,6.215040397762589,0.414336026517506,xpack/staff_e04.dbr,character_speedattack_02.dbr,character_speedattack_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_speedattack_02.dbr
Epic,Suffix,of Subjugation,3.10752019888129,0.207168013258753,xpack/staff_e04.dbr,xpack/petbonus_healtharmor_02.dbr,petbonus_healtharmor_02.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\petbonus_healtharmor_02.dbr
Epic,Suffix,of Intellect,10.027347310847802,0.6684898207231851,xpack/torsomage_e04.dbr,character_attributeintelligence_04.dbr,character_attributeintelligence_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributeintelligence_04.dbr
Epic,Suffix,of Heroes,0.820419325432999,0.0546946216955333,xpack/torsomage_e04.dbr,xpack/rare_healthmanatotaldmg_02.dbr,rare_healthmanatotaldmg_02.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\rare_healthmanatotaldmg_02.dbr
Epic,Suffix,of Thorns,2.7347310847766604,0.182315405651778,xpack/torsomage_e04.dbr,retaliation_pierce_02.dbr,retaliation_pierce_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\retaliation_pierce_02.dbr
Epic,Suffix,of Mana,10.027347310847802,0.6684898207231851,xpack/torsomage_e04.dbr,character_attributeenergy_04.dbr,character_attributeenergy_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributeenergy_04.dbr
Epic,Suffix,of Might,0.911577028258888,0.0607718018839258,xpack/torsomage_e04.dbr,character_attributestrength_05.dbr,character_attributestrength_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributestrength_05.dbr
Epic,Suffix,of the Glade,0.364630811303555,0.0243087207535703,xpack/torsomage_e04.dbr,rare_glade_armor_01.dbr,rare_glade_armor_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_glade_armor_01.dbr
Epic,Suffix,of the Wilds,0.911577028258888,0.0607718018839258,xpack/torsomage_e04.dbr,rare_pierceret%life_01.dbr,rare_pierceret%life_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_pierceret%life_01.dbr
Epic,Suffix,of Warding,1.3673655423883302,0.0911577028258888,xpack/torsomage_e04.dbr,defensive_%protection_03.dbr,defensive_%protection_03.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\defensive_%protection_03.dbr
Epic,Suffix,of Impetus,4.1020966271649995,0.273473108477666,xpack/torsomage_e04.dbr,xpack/defensive_resistslow_03.dbr,defensive_resistslow_03.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\defensive_resistslow_03.dbr
Epic,Suffix,of Vitality,4.557885141294441,0.30385900941962896,xpack/torsomage_e04.dbr,character_attributelife_04.dbr,character_attributelife_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributelife_04.dbr
Epic,Suffix,of Momentum,4.1020966271649995,0.273473108477666,xpack/torsomage_e04.dbr,xpack/defensive_resistslow_02.dbr,defensive_resistslow_02.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\defensive_resistslow_02.dbr
Epic,Suffix,of Refuge,0.273473108477666,0.0182315405651778,xpack/torsomage_e04.dbr,rare_da%protect_01.dbr,rare_da%protect_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_da%protect_01.dbr
Epic,Suffix,of Protection,0.911577028258888,0.0607718018839258,xpack/torsomage_e04.dbr,defensive_%protection_01.dbr,defensive_%protection_01.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\defensive_%protection_01.dbr
Epic,Suffix,of Renewal,5.46946216955333,0.364630811303555,xpack/torsomage_e04.dbr,character_regenlife_04.dbr,character_regenlife_04.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_regenlife_04.dbr
Epic,Suffix,of Regeneration,1.8231540565177802,0.12154360376785198,xpack/torsomage_e04.dbr,character_regenlife_05.dbr,character_regenlife_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_regenlife_05.dbr
Epic,Suffix,of Retribution,3.6463081130355497,0.243087207535703,xpack/torsomage_e04.dbr,retaliation_leechlife_02.dbr,retaliation_leechlife_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\retaliation_leechlife_02.dbr
Epic,Suffix,of Asylum,0.638103919781221,0.0425402613187481,xpack/torsomage_e04.dbr,rare_da%protect_02.dbr,rare_da%protect_02.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\rare_da%protect_02.dbr
Epic,Suffix,of Fortitude,1.8231540565177802,0.12154360376785198,xpack/torsomage_e04.dbr,xpack/defensive_resistsleep_03.dbr,defensive_resistsleep_03.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\defensive_resistsleep_03.dbr
Epic,Suffix,of Willpower,1.8231540565177802,0.12154360376785198,xpack/torsomage_e04.dbr,xpack/defensive_resistsleep_02.dbr,defensive_resistsleep_02.dbr,xpack,records\xpack\item\lootmagicalaffixes\Suffix\default\defensive_resistsleep_02.dbr
Epic,Suffix,of Grace,0.911577028258888,0.0607718018839258,xpack/torsomage_e04.dbr,character_attributedexterity_05.dbr,character_attributedexterity_05.dbr,Original,records\item\lootmagicalaffixes\Suffix\default\character_attributedexterity_05.dbr
