,Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record
25,Porphyrion's Gauntlets,MonsterInfrequent Legendary,71.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_l_gigantesmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_l_gigantesmelee.dbr'
26,Embodiment of Zeus' Thunderbolt,Common,,ItemRelic,,TQ,02_act1_zeusthunderbolt.dbr,b'records\\item\\relics02_act1_zeusthunderbolt.dbr'
27,Windswept Bracers,MonsterInfrequent Legendary,63.0,ArmorProtective_Forearm,,TQ,mi_l_duneraider.dbr,b'records\\item\\equipmentarmbandmi_l_duneraider.dbr'
28,Dvergr-Forged Edge Mace,MonsterInfrequent Epic,59.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/mi_e_dvergr.dbr,b'records\\xpack2\\item\\equipmentweapons\\clubmi_e_dvergr.dbr'
29,Helm of the Firewalker,Epic,45.0,ArmorProtective_Head,Firewalker's Suit,TQ,us_e_firewalker'ssuit.dbr,"b""records\\item\\equipmenthelmus_e_firewalker'ssuit.dbr"""
30,Legionnaire's Visor,Legendary,75.0,ArmorProtective_Head,Armament of the Fiery Legion,TQ Immortal Throne,xpack/us_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\helmus_l_001.dbr'
31,Epic Hag's Skin,Common,,ItemCharm,,TQ,02_act2_hagsskin.dbr,b'records\\item\\animalrelics02_act2_hagsskin.dbr'
32,Harness of Valhöll,MonsterInfrequent Legendary,78.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_l_einherjar.dbr'
33,Warchief's Leggings,MonsterInfrequent Legendary,70.0,ArmorProtective_LowerBody,,TQ,mi_l_yerren.dbr,b'records\\item\\equipmentgreavesmi_l_yerren.dbr'
34,Bristleback Helm,Epic,61.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_e_05.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmu_e_05.dbr'
35,Bloodrage,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_la_bloodrage.dbr,b'records\\xpack\\item\\artifactsn_la_bloodrage.dbr'
36,Wings of Carnus,Legendary,70.0,ArmorProtective_UpperBody,Raiment of Carnus,TQ Immortal Throne,xpack/usm_l_002.dbr,b'records\\xpack\\item\\equipmentarmor\\torsousm_l_002.dbr'
37,Shaman's Coil,MonsterInfrequent Normal,24.0,ArmorProtective_Forearm,,TQ,mi_n_neanderthalmage.dbr,b'records\\item\\equipmentarmbandmi_n_neanderthalmage.dbr'
38,Plouton's Crown,Legendary,75.0,ArmorProtective_Head,Plouton's Vestments,TQ Immortal Throne,xpack/usm_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\helmusm_l_001.dbr'
39,Ichthian Whomper,MonsterInfrequent Normal,22.0,WeaponMelee_Mace,,TQ,mi_n_ichthianmelee.dbr,b'records\\item\\equipmentweapon\\clubmi_n_ichthianmelee.dbr'
40,Stonebinder's Sash,MonsterInfrequent Normal,12.0,ArmorProtective_UpperBody,,TQ,mi_n_gorgonarcher.dbr,b'records\\item\\equipmentarmormi_n_gorgonarcher.dbr'
41,Boots of the Valkyrie,MonsterInfrequent Epic,60.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_e_valkyrie.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesmi_e_valkyrie.dbr'
42,Deerstalker Hat,Epic,50.0,ArmorProtective_Head,Raiment of the Baker Street Sage,TQ Immortal Throne,xpack/z_sleuth01.dbr,b'records\\xpack\\item\\equipmentarmor\\helmz_sleuth01.dbr'
43,Theban Cuirass,Epic,12.0,ArmorProtective_UpperBody,Theban Panoply,TQ,us_n_thebanpanoply.dbr,b'records\\item\\equipmentarmorus_n_thebanpanoply.dbr'
44,Master Forge Cuirass,MonsterInfrequent Epic,59.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_dvergrmelee.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_e_dvergrmelee.dbr'
45,Ceremonial Bracers,MonsterInfrequent Legendary,63.0,ArmorProtective_Forearm,,TQ,mi_l_mummy.dbr,b'records\\item\\equipmentarmbandmi_l_mummy.dbr'
46,Embodiment of Artemis' Bowstring,Common,,ItemRelic,,TQ,02_act1_artemisbowstring.dbr,b'records\\item\\relics02_act1_artemisbowstring.dbr'
47,Crown of Erebus,Epic,33.0,ArmorProtective_Head,Vestments of Erebus,TQ Immortal Throne,xpack/usm_n_001.dbr,b'records\\xpack\\item\\equipmentarmor\\helmusm_n_001.dbr'
48,Embodiment of Persephone's Tears,Common,,ItemRelic,,TQ Immortal Throne,xpack/02_act4_persephonestears.dbr,b'records\\xpack\\item\\relics02_act4_persephonestears.dbr'
49,Bloodborn Visor,MonsterInfrequent Legendary,71.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_l_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_l_melinoemage.dbr'
50,Mantle of Evisceration,Epic,24.0,ArmorProtective_UpperBody,,TQ,u_n_mantleofevisceration.dbr,b'records\\item\\equipmentarmoru_n_mantleofevisceration.dbr'
51,Shadowformed Band,Epic,46.0,ArmorJewelry_Ring,,TQ,u_e_shadowformedband.dbr,b'records\\item\\equipmentringu_e_shadowformedband.dbr'
52,Rogue's Greaves,Epic,49.0,ArmorProtective_LowerBody,Rogue's Cover,TQ,us_e_rogue'scover.dbr,"b""records\\item\\equipmentgreavesus_e_rogue'scover.dbr"""
53,Troll's Splitter,MonsterInfrequent Legendary,76.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/mi_l_troll.dbr,b'records\\xpack2\\item\\equipmentweapons\\axemi_l_troll.dbr'
54,Arcane Formula ~ Might of Hephaestus,Divine,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_da_mightofhephaestus_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaee_da_mightofhephaestus_formula.dbr'
55,Bow of Herakles,Legendary,68.0,WeaponHunting_Bow,,TQ,u_l_bowofheracles.dbr,b'records\\item\\equipmentweapon\\bowu_l_bowofheracles.dbr'
56,Sabertooth,MonsterInfrequent Normal,25.0,WeaponMelee_Sword,,TQ,mi_n_tigermanmelee.dbr,b'records\\item\\equipmentweapon\\swordmi_n_tigermanmelee.dbr'
57,Cleopatra's Short Sword,Epic,16.0,WeaponMelee_Sword,,TQ,u_n_cleopatrasshortsword.dbr,b'records\\item\\equipmentweapon\\swordu_n_cleopatrasshortsword.dbr'
58,Myrmidon's Chitin,MonsterInfrequent Epic,57.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_e_formicidmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_e_formicidmelee02.dbr'
59,Warlord's Coat,MonsterInfrequent Epic,49.0,ArmorProtective_UpperBody,,TQ,mi_e_tigermanchampion.dbr,b'records\\item\\equipmentarmormi_e_tigermanchampion.dbr'
60,Shredwind,Epic,33.0,WeaponHunting_Bow,,TQ Immortal Throne,xpack/u_n_002.dbr,b'records\\xpack\\item\\equipmentweapons\\bowu_n_002.dbr'
61,Bloodborn Visor,MonsterInfrequent Normal,32.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_n_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_n_melinoemage.dbr'
62,Stormraven Sword,MonsterInfrequent Legendary,77.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/mi_l_mercenary.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordmi_l_mercenary.dbr'
63,Final Breath,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_ga_finalbreath.dbr,b'records\\xpack\\item\\artifactse_ga_finalbreath.dbr'
64,Troll's Branch,MonsterInfrequent Normal,35.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/mi_n_troll.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffmi_n_troll.dbr'
65,Fine Gallic Boots,Epic,37.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_n_03.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesu_n_03.dbr'
66,Grand Chieftain's Torc,Epic,61.0,ArmorJewelry_Amulet,,TQ Ragnarok,xpack2/u_e_004.dbr,b'records\\xpack2\\item\\equipmentarmor\\amuletu_e_004.dbr'
67,Arcane Formula ~ Heart of Earth,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_ga_heartofearth_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaee_ga_heartofearth_formula.dbr'
68,Molten Orb,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_la_moltenorb.dbr,b'records\\xpack\\item\\artifactsn_la_moltenorb.dbr'
69,Soul Spike,Epic,33.0,WeaponHunting_Spear,Panoply of the Moirae,TQ Immortal Throne,xpack/us_n_001.dbr,b'records\\xpack\\item\\equipmentweapons\\spearus_n_001.dbr'
70,Seidr Bones,Lesser,5.0,ItemArtifact,,TQ Ragnarok,xpack2/n_la_seidrbones.dbr,b'records\\xpack2\\item\\artifactsn_la_seidrbones.dbr'
71,Rogue's Headband,Epic,52.0,ArmorProtective_Head,Rogue's Cover,TQ,us_e_rogue'scover.dbr,"b""records\\item\\equipmenthelmus_e_rogue'scover.dbr"""
72,Legendary Venom Sac,Common,,ItemCharm,,TQ,03_multacts_venomsac.dbr,b'records\\item\\animalrelics03_multacts_venomsac.dbr'
73,Essence of the Jade Emperor's Serenity,Common,,ItemRelic,,TQ,01_act3_jadeemperorsserenity.dbr,b'records\\item\\relics01_act3_jadeemperorsserenity.dbr'
74,Shadow Veil,Epic,50.0,ArmorProtective_Head,Shadow Guard,TQ,us_e_shadowguard.dbr,b'records\\item\\equipmenthelmus_e_shadowguard.dbr'
75,Ethereal Clasp,MonsterInfrequent Legendary,60.0,ArmorProtective_Forearm,,TQ,mi_l_wraith.dbr,b'records\\item\\equipmentarmbandmi_l_wraith.dbr'
76,Grip of Carnus,Legendary,70.0,ArmorProtective_Forearm,Raiment of Carnus,TQ Immortal Throne,xpack/usm_l_002.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandusm_l_002.dbr'
77,Chthonic Legwraps,Legendary,59.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/um_e_002.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesum_e_002.dbr'
78,Windswept Harness,MonsterInfrequent Normal,16.0,ArmorProtective_UpperBody,,TQ,mi_n_duneraider.dbr,b'records\\item\\equipmentarmormi_n_duneraider.dbr'
79,Soulflay Fork,Legendary,59.0,WeaponHunting_Spear,,TQ Immortal Throne,xpack/u_e_002.dbr,b'records\\xpack\\item\\equipmentweapons\\spearu_e_002.dbr'
80,Atalanta's Bow,Legendary,65.0,WeaponHunting_Bow,,TQ,u_l_atalanta'sbow.dbr,"b""records\\item\\equipmentweapon\\bowu_l_atalanta'sbow.dbr"""
81,Quiver of N'Imh,MonsterInfrequent Legendary,67.0,ArmorProtective_UpperBody,,TQ,mi_l_ratmanarcher.dbr,b'records\\item\\equipmentarmormi_l_ratmanarcher.dbr'
82,Gog,MonsterInfrequent Epic,57.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_e_troglodytemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_e_troglodytemelee.dbr'
83,Arcane Formula ~ Tongue of Flame,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/l_la_tongueofflame_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulael_la_tongueofflame_formula.dbr'
84,Crystal Ring,Epic,42.0,ArmorJewelry_Ring,The Ice Crystals,TQ,u_e_crystalring.dbr,b'records\\item\\equipmentringu_e_crystalring.dbr'
85,Feng Xao's Meditation Robes,Legendary,65.0,ArmorProtective_UpperBody,,TQ,um_l_fengxao'smeditationrobes.dbr,"b""records\\item\\equipmentarmorum_l_fengxao'smeditationrobes.dbr"""
86,Thorny Maul,Legendary,53.0,WeaponMelee_Mace,,TQ,u_e_thornymaul.dbr,b'records\\item\\equipmentweapon\\clubu_e_thornymaul.dbr'
87,Ethereal Leggings,MonsterInfrequent Legendary,63.0,ArmorProtective_LowerBody,,TQ,mi_l_wraith.dbr,b'records\\item\\equipmentgreavesmi_l_wraith.dbr'
88,Apple Bearer's Mail,Epic,39.0,ArmorProtective_UpperBody,Armor of the Immortal Guard,TQ,us_e_armoroftheimmortalguard.dbr,b'records\\item\\equipmentarmorus_e_armoroftheimmortalguard.dbr'
89,Epic Troll Tusks,Common,,ItemCharm,,TQ Ragnarok,xpack2/02_act5_trolltusks.dbr,b'records\\xpack2\\item\\charms02_act5_trolltusks.dbr'
90,Lo Ren Cuirass,Epic,24.0,ArmorProtective_UpperBody,,TQ,u_n_lorencuirass.dbr,b'records\\item\\equipmentarmoru_n_lorencuirass.dbr'
91,Essence of Persephone's Tears,Common,,ItemRelic,,TQ Immortal Throne,xpack/01_act4_persephonestears.dbr,b'records\\xpack\\item\\relics01_act4_persephonestears.dbr'
92,Jade Clasp,Epic,28.0,ArmorProtective_Forearm,Jade Jewellery,TQ,um_n_jadeclasp.dbr,b'records\\item\\equipmentarmbandum_n_jadeclasp.dbr'
93,Thyestes' Scheme,Legendary,65.0,WeaponMelee_Sword,,TQ,u_l_thyestes'scheme.dbr,"b""records\\item\\equipmentweapon\\swordu_l_thyestes'scheme.dbr"""
94,Lupine Vestment,MonsterInfrequent Legendary,63.0,ArmorProtective_UpperBody,,TQ,mi_l_jackalmanmage.dbr,b'records\\item\\equipmentarmormi_l_jackalmanmage.dbr'
95,Bloodthirst the Glutton,Legendary,50.0,WeaponArmor_Shield,,TQ,u_e_bloodthirsttheglutton.dbr,b'records\\item\\equipmentshieldu_e_bloodthirsttheglutton.dbr'
96,Alcyoneus’ Gauntlets,MonsterInfrequent Normal,,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_n_gigantesmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_n_gigantesmelee02.dbr'
97,Bonebreaker Cowl,MonsterInfrequent Normal,35.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_n_troll.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_n_troll.dbr'
98,Essence of Donar's Hammer,Common,,ItemRelic,,TQ Ragnarok,xpack2/01_act5_donarshammer.dbr,b'records\\xpack2\\item\\relics01_act5_donarshammer.dbr'
99,Vestment of Ker,MonsterInfrequent Legendary,69.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_keresmage.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_l_keresmage.dbr'
100,Revenant Crown,MonsterInfrequent Normal,17.0,ArmorProtective_Head,,TQ,mi_n_goldenskeleton.dbr,b'records\\item\\equipmenthelmmi_n_goldenskeleton.dbr'
101,Bonebreaker Mail,MonsterInfrequent Epic,57.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_troll.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_e_troll.dbr'
102,Shaman's Coil,MonsterInfrequent Legendary,67.0,ArmorProtective_Forearm,,TQ,mi_l_neanderthalmage.dbr,b'records\\item\\equipmentarmbandmi_l_neanderthalmage.dbr'
103,Archmage's Mantle,Legendary,68.0,ArmorProtective_UpperBody,Archmage's Regalia,TQ,usm_l_archmage'sregalia.dbr,"b""records\\item\\equipmentarmorusm_l_archmage'sregalia.dbr"""
104,Staff of the Deep,MonsterInfrequent Epic,58.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/mi_e_fjordmage.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffmi_e_fjordmage.dbr'
105,Erysichthon's Hunger,Legendary,65.0,WeaponMelee_Axe,,TQ,u_l_erysichthon'shunger.dbr,"b""records\\item\\equipmentweapon\\axeu_l_erysichthon'shunger.dbr"""
106,Porphyrion's Helm,MonsterInfrequent Epic,58.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_e_gigantesmelee01.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_e_gigantesmelee01.dbr'
107,Blacksteel Bulwark,MonsterInfrequent Epic,60.0,WeaponArmor_Shield,,TQ Ragnarok,xpack2/mi_e_eldjotun.dbr,b'records\\xpack2\\item\\equipmentweapons\\shieldmi_e_eldjotun.dbr'
108,Crimson Viper,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_ga_crimsonviper.dbr,b'records\\xpack\\item\\artifactse_ga_crimsonviper.dbr'
109,Crown of Dockma'Ar,Legendary,59.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/um_e_002.dbr,b'records\\xpack\\item\\equipmentarmor\\helmum_e_002.dbr'
110,Brute's Plate,MonsterInfrequent Normal,5.0,ArmorProtective_UpperBody,,TQ,mi_n_satyrbrute.dbr,b'records\\item\\equipmentarmormi_n_satyrbrute.dbr'
111,Arcane Formula ~ Deathrattle,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_deathrattle_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_la_deathrattle_formula.dbr'
112,Helm of Alfheim,MonsterInfrequent Legendary,79.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_l_alfr.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_l_alfr.dbr'
113,Staff of Nabukhuthnusar,Epic,24.0,WeaponMagical_Staff,,TQ,u_n_staffofnabukhuthnusar.dbr,b'records\\item\\equipmentweapon\\staffu_n_staffofnabukhuthnusar.dbr'
114,Brokkr's Gift,Epic,63.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/u_e_01.dbr,b'records\\xpack2\\item\\equipmentweapons\\axeu_e_01.dbr'
115,Ceremonial Greaves,MonsterInfrequent Normal,15.0,ArmorProtective_LowerBody,,TQ,mi_n_mummy.dbr,b'records\\item\\equipmentgreavesmi_n_mummy.dbr'
116,Bai Hu's Coronal,MonsterInfrequent Legendary,71.0,ArmorProtective_Head,,TQ,mi_l_tigermanmage.dbr,b'records\\item\\equipmenthelmmi_l_tigermanmage.dbr'
117,Shroud of Ker,MonsterInfrequent Epic,56.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_e_keresmage.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_e_keresmage.dbr'
118,Hammer of the Sun,Epic,45.0,WeaponMelee_Mace,,TQ,u_e_hammerofthesun.dbr,b'records\\item\\equipmentweapon\\clubu_e_hammerofthesun.dbr'
119,Gungnir,Legendary,79.0,WeaponHunting_Spear,Raiments of Wodan,TQ Ragnarok,xpack2/usm_l_allfather.dbr,b'records\\xpack2\\item\\equipmentweapons\\spearusm_l_allfather.dbr'
120,Epic Peng Claw,Common,,ItemCharm,,TQ,02_act3_pengclaw.dbr,b'records\\item\\animalrelics02_act3_pengclaw.dbr'
121,Arcane Formula ~ Sphere of Eternity,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_ga_sphereofeternity_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaee_ga_sphereofeternity_formula.dbr'
122,Recipe for Karkinos Bisque,Epic,,ItemEquipment,,TQ Immortal Throne,xpack/parchment12.dbr,b'records\\xpack\\item\\parchmentsparchment12.dbr'
123,Deathweaver's Chitin,MonsterInfrequent Legendary,60.0,ArmorProtective_UpperBody,,TQ,mi_l_arachnos.dbr,b'records\\item\\equipmentarmormi_l_arachnos.dbr'
124,Eye of Horus,Legendary,59.0,ArmorJewelry_Ring,,TQ,u_l_eyeofhorus.dbr,b'records\\item\\equipmentringu_l_eyeofhorus.dbr'
125,Albino Spider Web,Common,,ItemCharm,,TQ Immortal Throne,xpack/01_act4_frozenchitin.dbr,b'records\\xpack\\item\\charms01_act4_frozenchitin.dbr'
126,Morpheus' Dreamweb,Divine,5.0,ItemArtifact,,TQ Immortal Throne,xpack/l_da_morpheusdreamweb.dbr,b'records\\xpack\\item\\artifactsl_da_morpheusdreamweb.dbr'
127,Staff of the Cosmos,Legendary,59.0,WeaponMagical_Staff,,TQ Immortal Throne,xpack/u_e_002.dbr,b'records\\xpack\\item\\equipmentweapons\\staffu_e_002.dbr'
128,Strength of the Wild,Epic,49.0,ArmorProtective_Forearm,Aspect of the Wild,TQ,us_e_aspectofthewild.dbr,b'records\\item\\equipmentarmbandus_e_aspectofthewild.dbr'
129,Imperial Greaves,Epic,28.0,ArmorProtective_LowerBody,Imperial Raiment,TQ,us_n_imperialraiment.dbr,b'records\\item\\equipmentgreavesus_n_imperialraiment.dbr'
130,Stheno's Wisdom,MonsterInfrequent Normal,13.0,ArmorProtective_Head,,TQ,mi_n_gorgon.dbr,b'records\\item\\equipmenthelmmi_n_gorgon.dbr'
131,Lionheart,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_ga_lionheart.dbr,b'records\\xpack\\item\\artifactse_ga_lionheart.dbr'
132,Bracers of the Nemean Lion,Legendary,65.0,ArmorProtective_Forearm,Nemean Lion Hide,TQ,us_l_nemeanlionhide.dbr,b'records\\item\\equipmentarmbandus_l_nemeanlionhide.dbr'
133,Grimhild's Serpents,Legendary,63.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/u_e_03.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_e_03.dbr'
134,Hunter's Armguard,Epic,49.0,ArmorProtective_Forearm,Hunter's Armor,TQ,us_e_hunter'sarmor.dbr,"b""records\\item\\equipmentarmbandus_e_hunter'sarmor.dbr"""
135,Moon Disc,Epic,42.0,WeaponArmor_Shield,,TQ,u_e_moondisc.dbr,b'records\\item\\equipmentshieldu_e_moondisc.dbr'
136,Starkad's Wife,Legendary,77.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/u_l_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\axeu_l_02.dbr'
137,Premonition,Epic,33.0,WeaponArmor_Shield,,TQ Immortal Throne,xpack/u_n_002.dbr,b'records\\xpack\\item\\equipmentweapons\\shieldu_n_002.dbr'
138,Shaman's Adornment,MonsterInfrequent Normal,24.0,ArmorProtective_UpperBody,,TQ,mi_n_neanderthalmage.dbr,b'records\\item\\equipmentarmormi_n_neanderthalmage.dbr'
139,Sapros the Corrupter,Legendary,68.0,WeaponMelee_Mace,,TQ,u_l_saprosthecorrupter.dbr,b'records\\item\\equipmentweapon\\clubu_l_saprosthecorrupter.dbr'
140,Marauder's Girdle,MonsterInfrequent Legendary,67.0,ArmorProtective_UpperBody,,TQ,mi_l_neanderthalmelee.dbr,b'records\\item\\equipmentarmormi_l_neanderthalmelee.dbr'
141,Ketos' Chomp,Epic,33.0,WeaponMelee_Sword,,TQ Immortal Throne,xpack/u_n_003.dbr,b'records\\xpack\\item\\equipmentweapons\\swordu_n_003.dbr'
